biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
﻿biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
596287,503,,02/01/2024 7:10,1,0,
596288,510,,02/01/2024 7:14,1,0,
596289,518,,02/01/2024 7:21,1,0,
596290,516,,02/01/2024 7:40,1,0,
596291,514,,02/01/2024 7:40,1,0,
596292,500,,02/01/2024 7:53,1,0,
596293,808,,02/01/2024 8:01,1,0,
596294,728,,02/01/2024 9:05,1,0,
602857,260,,02/01/2024 6:14,1,0,
602858,150,,02/01/2024 6:27,1,0,
602859,706,,02/01/2024 6:50,1,0,
602860,243,,02/01/2024 7:07,1,0,
602861,306,,02/01/2024 7:11,1,0,
602862,750,,02/01/2024 7:14,1,0,
602863,157,,02/01/2024 7:24,1,0,
602864,133,,02/01/2024 7:42,1,0,
602865,158,,02/01/2024 7:55,1,0,
602866,818,,02/01/2024 7:55,1,0,
602867,210,,02/01/2024 8:02,1,0,
602868,162,,02/01/2024 8:14,1,0,
602869,783,,02/01/2024 8:34,1,0,
602870,372,,02/01/2024 8:44,1,0,
602871,343,,02/01/2024 8:53,1,0,
602872,784,,02/01/2024 9:47,1,0,
603479,246,,02/01/2024 6:50,2,0,
603480,186,,02/01/2024 7:20,2,0,
603481,289,,02/01/2024 7:32,2,0,
603482,164,,02/01/2024 7:33,2,0,
603483,278,,02/01/2024 7:41,2,0,
603484,764,,02/01/2024 7:51,2,0,
603485,173,,02/01/2024 7:58,2,0,
603486,110,,02/01/2024 8:08,2,0,
604468,132,,02/01/2024 6:05,4,0,
604469,143,,02/01/2024 6:27,4,0,
604470,148,,02/01/2024 6:29,4,0,
604471,272,,02/01/2024 6:29,4,0,
604472,641,,02/01/2024 6:38,4,0,
604473,268,,02/01/2024 6:45,4,0,
604474,103,,02/01/2024 6:46,4,0,
604475,256,,02/01/2024 6:49,4,0,
604476,270,,02/01/2024 7:10,4,0,
604477,661,,02/01/2024 7:22,4,0,
604478,827,,02/01/2024 8:31,4,0,
604479,224,,02/01/2024 8:36,4,0,
604480,713,,02/01/2024 8:47,4,0,
604481,369,,02/01/2024 8:48,4,0,
605849,252,,02/01/2024 6:07,5,0,
605850,230,,02/01/2024 6:25,5,0,
605851,707,,02/01/2024 6:37,5,0,
605852,724,,02/01/2024 6:57,5,0,
605853,146,,02/01/2024 7:01,5,0,
605854,375,,02/01/2024 7:08,5,0,
605855,762,,02/01/2024 7:18,5,0,
605856,106,,02/01/2024 7:23,5,0,
605857,690,,02/01/2024 7:25,5,0,
605858,763,,02/01/2024 7:30,5,0,
605859,795,,02/01/2024 7:30,5,0,
605860,838,,02/01/2024 7:38,5,0,
605861,298,,02/01/2024 7:39,5,0,
605862,677,,02/01/2024 7:42,5,0,
605863,825,,02/01/2024 7:43,5,0,
605864,281,,02/01/2024 7:50,5,0,
605865,121,,02/01/2024 7:53,5,0,
605866,191,,02/01/2024 8:16,5,0,
605867,679,,02/01/2024 8:17,5,0,
605868,156,,02/01/2024 8:24,5,0,
605869,730,,02/01/2024 8:34,5,0,
605870,313,,02/01/2024 8:36,5,0,
605871,773,,02/01/2024 8:47,5,0,
605872,642,,02/01/2024 8:52,5,0,
605873,755,,02/01/2024 9:00,5,0,
605874,113,,02/01/2024 9:04,5,0,
605875,192,,02/01/2024 9:52,5,0,
607757,233,,02/01/2024 5:45,3,0,
607758,786,,02/01/2024 6:31,3,0,
607759,109,,02/01/2024 6:31,3,0,
607760,239,,02/01/2024 6:55,3,0,
607761,193,,02/01/2024 6:55,3,0,
607762,811,,02/01/2024 7:01,3,0,
607763,147,,02/01/2024 7:04,3,0,
607764,123,,02/01/2024 7:06,3,0,
607765,745,,02/01/2024 7:06,3,0,
607766,105,,02/01/2024 7:31,3,0,
607767,350,,02/01/2024 7:31,3,0,
607768,163,,02/01/2024 7:34,3,0,
607769,816,,02/01/2024 7:50,3,0,
607770,136,,02/01/2024 7:58,3,0,
607771,238,,02/01/2024 8:04,3,0,
607772,160,,02/01/2024 8:14,3,0,
607773,229,,02/01/2024 8:55,3,0,
607774,500,,02/01/2024 12:02,1,1,
607775,500,,02/01/2024 12:03,1,0,
607776,514,,02/01/2024 12:14,1,1,
607777,514,,02/01/2024 12:15,1,0,
607778,503,,02/01/2024 12:51,1,1,
607779,518,,02/01/2024 12:51,1,1,
607780,728,,02/01/2024 12:51,1,1,
607781,808,,02/01/2024 12:51,1,1,
607782,510,,02/01/2024 12:53,1,1,
607783,510,,02/01/2024 12:53,1,0,
607784,518,,02/01/2024 12:53,1,0,
607785,808,,02/01/2024 12:54,1,0,
607786,728,,02/01/2024 12:54,1,0,
607787,503,,02/01/2024 12:55,1,0,
607788,516,,02/01/2024 12:56,1,1,
607789,516,,02/01/2024 12:57,1,0,
607790,503,,02/01/2024 16:10,1,1,
607791,514,,02/01/2024 16:46,1,1,
607792,500,,02/01/2024 16:54,1,1,
607793,518,,02/01/2024 17:03,1,1,
607794,808,,02/01/2024 17:15,1,1,
607795,516,,02/01/2024 17:23,1,1,
607796,510,,02/01/2024 18:29,1,1,
607797,516,,03/01/2024 6:15,1,0,
607798,133,,02/01/2024 12:01,1,1,
607799,133,,02/01/2024 12:01,1,0,
607800,150,,02/01/2024 12:02,1,1,
607801,243,,02/01/2024 12:03,1,1,
607802,243,,02/01/2024 12:03,1,0,
607803,150,,02/01/2024 12:03,1,0,
607804,372,,02/01/2024 12:08,1,1,
607805,372,,02/01/2024 12:08,1,0,
607806,306,,02/01/2024 12:10,1,1,
607807,306,,02/01/2024 12:10,1,0,
607808,750,,02/01/2024 12:12,1,1,
607809,750,,02/01/2024 12:12,1,0,
607810,343,,02/01/2024 12:13,1,1,
607811,343,,02/01/2024 12:13,1,0,
607812,210,,02/01/2024 12:13,1,0,
607813,210,,02/01/2024 12:14,1,1,
607814,210,,02/01/2024 12:14,1,0,
607815,818,,02/01/2024 12:16,1,1,
607816,818,,02/01/2024 12:16,1,0,
