biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
738029,160,,17/4/2024 12:27:15,3,1,
738030,160,,17/4/2024 12:27:19,3,0,
738031,218,,17/4/2024 12:29:47,3,1,
738032,218,,17/4/2024 12:29:51,3,0,
738033,322,,17/4/2024 12:21:48,4,1,
738034,322,,17/4/2024 12:21:52,4,0,
738035,794,,17/4/2024 12:22:33,4,1,
738036,794,,17/4/2024 12:22:36,4,0,
738037,653,,17/4/2024 12:22:41,4,1,
738038,653,,17/4/2024 12:22:44,4,0,
738039,143,,17/4/2024 12:22:50,4,1,
738040,143,,17/4/2024 12:22:52,4,0,
738041,357,,17/4/2024 12:25:23,4,1,
738042,357,,17/4/2024 12:25:26,4,0,
738043,265,,17/4/2024 12:33:27,1,1,
738044,265,,17/4/2024 12:33:30,1,0,
738045,128,,17/4/2024 12:34:54,1,1,
738046,128,,17/4/2024 12:35:01,1,0,
738047,238,,17/4/2024 12:31:15,3,1,
738048,118,,17/4/2024 12:31:27,3,1,
738049,238,,17/4/2024 12:31:42,3,0,
738050,118,,17/4/2024 12:31:52,3,0,
738051,203,,17/4/2024 12:33:23,3,1,
738052,203,,17/4/2024 12:33:31,3,0,
738053,152,,17/4/2024 12:33:49,3,1,
738054,152,,17/4/2024 12:34:12,3,0,
738055,109,,17/4/2024 12:38:46,3,1,
738056,109,,17/4/2024 12:38:52,3,0,
738057,823,,17/4/2024 12:35:17,4,1,
738058,823,,17/4/2024 12:35:20,4,0,
738059,677,,17/4/2024 12:25:27,5,1,
738060,677,,17/4/2024 12:25:28,5,1,
738061,121,,17/4/2024 12:25:34,5,1,
738062,677,,17/4/2024 12:25:38,5,0,
738063,121,,17/4/2024 12:25:42,5,0,
738064,166,,17/4/2024 12:29:17,5,1,
738065,166,,17/4/2024 12:29:21,5,0,
738066,773,,17/4/2024 12:29:29,5,1,
738067,773,,17/4/2024 12:29:32,5,0,
738068,446,,17/4/2024 12:34:30,1,1,
738069,448,,17/4/2024 12:34:31,1,1,
738070,448,,17/4/2024 12:34:37,1,0,
738071,446,,17/4/2024 12:34:39,1,0,
738072,397,,17/4/2024 12:38:09,1,1,
738073,398,,17/4/2024 12:38:19,1,1,
738074,397,,17/4/2024 12:38:27,1,0,
738075,545,,17/4/2024 12:39:26,1,1,
738076,558,,17/4/2024 12:39:30,1,1,
738077,558,,17/4/2024 12:39:37,1,0,
738078,545,,17/4/2024 12:39:42,1,0,
