biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
733028,352,,11/4/2024 12:14:44,1,0,
733029,317,,11/4/2024 12:15:10,1,1,
733030,317,,11/4/2024 12:15:16,1,0,
733031,199,,11/4/2024 12:15:23,1,1,
733032,199,,11/4/2024 12:15:26,1,0,
733033,210,,11/4/2024 12:15:30,1,1,
733034,210,,11/4/2024 12:15:34,1,0,
733035,157,,11/4/2024 12:15:46,1,1,
733036,157,,11/4/2024 12:15:53,1,0,
733037,789,,11/4/2024 12:16:06,1,1,
733038,789,,11/4/2024 12:16:08,1,0,
733039,129,,11/4/2024 12:16:20,1,1,
733040,129,,11/4/2024 12:16:25,1,0,
733041,487,,11/4/2024 12:16:45,1,1,
733042,487,,11/4/2024 12:16:49,1,0,
733043,243,,11/4/2024 12:18:30,1,1,
733044,209,,11/4/2024 12:18:42,1,1,
733045,243,,11/4/2024 12:18:46,1,0,
733046,209,,11/4/2024 12:18:51,1,0,
733047,784,,11/4/2024 12:20:20,1,1,
733048,784,,11/4/2024 12:20:33,1,0,
733049,249,,11/4/2024 12:21:19,1,1,
733050,249,,11/4/2024 12:21:24,1,0,
733051,782,,11/4/2024 12:25:23,1,1,
733052,782,,11/4/2024 12:25:27,1,0,
733053,369,,11/4/2024 12:26:57,1,1,
733054,369,,11/4/2024 12:27:00,1,0,
733055,369,,11/4/2024 12:27:01,1,0,
733056,343,,11/4/2024 12:27:05,1,1,
733057,343,,11/4/2024 12:27:08,1,0,
733058,738,,11/4/2024 12:27:13,1,1,
733059,738,,11/4/2024 12:27:16,1,0,
733060,220,,11/4/2024 12:27:22,1,1,
733061,220,,11/4/2024 12:27:25,1,0,
733062,880,,11/4/2024 12:27:30,1,1,
733063,880,,11/4/2024 12:27:33,1,0,
733064,244,,11/4/2024 12:29:04,1,1,
733065,261,,11/4/2024 12:29:19,1,1,
733066,739,,11/4/2024 12:29:23,1,1,
733067,244,,11/4/2024 12:29:30,1,0,
733068,739,,11/4/2024 12:29:31,1,0,
733069,261,,11/4/2024 12:29:36,1,0,
733070,895,,11/4/2024 12:29:46,1,1,
733071,783,,11/4/2024 12:29:48,1,1,
733072,895,,11/4/2024 12:29:51,1,0,
733073,783,,11/4/2024 12:29:53,1,0,
733074,763,,11/4/2024 12:31:27,1,1,
733075,763,,11/4/2024 12:31:31,1,0,
733076,162,,11/4/2024 12:32:12,1,1,
733077,162,,11/4/2024 12:32:16,1,0,
733078,830,,11/4/2024 12:35:04,1,1,
733079,830,,11/4/2024 12:35:10,1,0,
733080,195,,11/4/2024 12:35:16,1,1,
733081,195,,11/4/2024 12:35:19,1,0,
733082,853,,11/4/2024 12:35:55,1,1,
733083,853,,11/4/2024 12:35:59,1,0,
733084,795,,11/4/2024 12:36:20,1,1,
733085,795,,11/4/2024 12:36:25,1,0,
733086,750,,11/4/2024 12:36:32,1,1,
733087,834,,11/4/2024 12:36:38,1,1,
733088,750,,11/4/2024 12:36:42,1,0,
733089,834,,11/4/2024 12:36:47,1,0,
733090,197,,11/4/2024 12:37:52,1,1,
733091,197,,11/4/2024 12:37:55,1,0,
733092,824,,11/4/2024 12:43:25,1,1,
733093,824,,11/4/2024 12:43:29,1,0,
733094,870,,11/4/2024 12:51:44,1,1,
733095,870,,11/4/2024 12:51:47,1,0,
