biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
736029,843,,15/4/2024 18:02:21,5,1,
736030,274,,15/4/2024 18:03:10,5,1,
736031,243,,15/4/2024 18:06:46,1,1,
736032,267,,15/4/2024 18:08:08,1,1,
736033,760,,15/4/2024 18:09:21,1,1,
736034,565,,15/4/2024 18:11:09,1,1,
736035,740,,15/4/2024 18:06:17,3,1,
736036,671,,15/4/2024 18:07:43,3,1,
736037,801,,15/4/2024 18:11:31,3,1,
736038,617,,15/4/2024 18:09:38,4,1,
736039,573,,15/4/2024 18:05:44,5,1,
736040,230,,15/4/2024 18:10:23,5,1,
736041,266,,15/4/2024 18:10:31,5,1,
736042,369,,15/4/2024 18:12:41,1,1,
736043,112,,15/4/2024 18:18:26,3,1,
736044,227,,15/4/2024 18:18:30,3,1,
736045,124,,15/4/2024 18:16:33,4,1,
736046,641,,15/4/2024 18:19:03,4,1,
736047,824,,15/4/2024 18:19:34,1,1,
736048,185,,15/4/2024 18:20:34,1,1,
736049,306,,15/4/2024 18:22:02,1,1,
736050,851,,15/4/2024 18:26:09,1,1,
736051,200,,15/4/2024 18:00:57,2,1,
736052,116,,15/4/2024 18:21:45,2,1,
736053,864,,15/4/2024 18:23:56,2,1,
736054,746,,15/4/2024 18:26:26,4,1,
736055,683,,15/4/2024 18:20:55,5,1,
736056,785,,15/4/2024 18:25:00,5,1,
736057,679,,15/4/2024 18:26:24,5,1,
736058,191,,15/4/2024 18:26:28,5,1,
736059,408,,15/4/2024 18:26:30,1,1,
736060,391,,15/4/2024 18:26:33,1,1,
736061,825,,15/4/2024 18:30:41,1,1,
736062,162,,15/4/2024 18:32:19,1,1,
736063,791,,15/4/2024 18:22:02,3,1,
736064,218,,15/4/2024 18:30:16,3,1,
736065,859,,15/4/2024 18:35:40,4,1,
736066,877,,15/4/2024 18:27:47,5,1,
736067,194,,15/4/2024 18:29:16,5,1,
736068,156,,15/4/2024 18:32:31,5,1,
736069,682,,15/4/2024 18:37:33,1,1,
736070,709,,15/4/2024 18:38:35,1,1,
736071,261,,15/4/2024 18:41:32,1,1,
736072,693,,15/4/2024 18:39:00,4,1,
736073,693,,15/4/2024 18:39:02,4,1,
736074,270,,15/4/2024 18:39:38,4,1,
736075,771,,15/4/2024 18:40:23,4,1,
736076,713,,15/4/2024 18:40:27,4,1,
736077,831,,15/4/2024 18:40:49,4,1,
736078,817,,15/4/2024 18:40:59,4,1,
736079,167,,15/4/2024 18:41:05,4,1,
736080,414,,15/4/2024 18:39:50,1,1,
736081,689,,15/4/2024 18:44:19,1,1,
736082,343,,15/4/2024 18:44:26,1,1,
736083,871,,15/4/2024 18:44:40,1,1,
736084,195,,15/4/2024 18:44:44,1,1,
736085,834,,15/4/2024 18:52:59,1,1,
736086,880,,15/4/2024 18:53:04,1,1,
736087,244,,15/4/2024 18:54:37,1,1,
736088,793,,15/4/2024 18:56:12,1,1,
736089,165,,15/4/2024 18:50:54,3,1,
736090,174,,15/4/2024 19:00:40,1,1,
736091,333,,15/4/2024 19:01:24,3,1,
736092,350,,15/4/2024 19:07:05,3,1,
736093,163,,15/4/2024 19:09:55,3,1,
736094,763,,15/4/2024 19:18:31,1,1,
736095,795,,15/4/2024 19:18:35,1,1,
736096,157,,15/4/2024 19:20:43,1,1,
736097,186,,15/4/2024 19:01:32,2,0,
736098,203,,15/4/2024 19:20:24,3,1,
736099,355,,15/4/2024 19:21:04,4,1,
736100,247,,15/4/2024 19:21:10,4,1,
736101,164,,15/4/2024 19:26:03,2,1,
736102,745,,15/4/2024 19:23:17,3,1,
736103,745,,15/4/2024 19:23:20,3,1,
736104,742,,15/4/2024 19:37:52,4,1,
736105,279,,15/4/2024 19:50:19,4,1,
736106,196,,15/4/2024 20:02:42,1,1,
736107,729,,15/4/2024 20:27:41,4,1,
736108,273,,15/4/2024 18:51:42,5,1,
736109,263,,15/4/2024 19:21:19,5,1,
736110,654,,15/4/2024 19:24:22,5,1,
736111,755,,15/4/2024 19:27:43,5,1,
736112,189,,15/4/2024 19:45:04,5,1,
736113,773,,15/4/2024 19:45:43,5,1,
736114,146,,15/4/2024 19:49:39,5,1,
736115,298,,15/4/2024 20:01:40,5,1,
736116,280,,15/4/2024 20:42:47,1,1,
736117,770,,15/4/2024 20:42:50,1,1,
736118,103,,15/4/2024 21:00:36,4,1,
736119,684,,15/4/2024 21:29:23,4,1,
736120,648,,15/4/2024 21:34:36,1,1,
736121,160,,15/4/2024 19:33:27,3,1,
736122,816,,15/4/2024 19:36:24,3,1,
736123,238,,15/4/2024 19:37:34,3,1,
736124,302,,15/4/2024 20:00:47,3,1,
736125,109,,15/4/2024 20:04:45,3,1,
736126,743,,15/4/2024 20:24:15,3,1,
736127,132,,16/4/2024 04:52:22,4,0,
736128,269,,16/4/2024 05:11:03,1,0,
736129,186,,16/4/2024 04:23:23,2,1,
736130,242,,16/4/2024 05:21:26,2,0,
736131,203,,16/4/2024 05:21:10,3,1,
736132,212,,16/4/2024 05:32:34,3,1,
736133,212,,16/4/2024 05:32:40,3,0,
736134,233,,16/4/2024 05:35:03,3,0,
736135,302,,16/4/2024 05:38:26,3,0,
736136,176,,16/4/2024 05:17:41,5,0,
736137,108,,16/4/2024 05:40:21,5,0,
736138,149,,16/4/2024 05:41:42,5,0,
736139,137,,16/4/2024 05:42:46,5,0,
736140,209,,16/4/2024 05:44:17,1,0,
736141,174,,16/4/2024 05:45:13,1,0,
736142,858,,16/4/2024 05:56:58,3,0,
736143,189,,16/4/2024 05:51:25,5,0,
736144,863,,16/4/2024 06:05:57,3,0,
736145,867,,16/4/2024 06:04:10,4,0,
736146,103,,16/4/2024 06:07:27,4,0,
736147,766,,16/4/2024 06:10:03,4,0,
736148,739,,16/4/2024 06:18:35,1,0,
736149,199,,16/4/2024 06:19:59,1,0,
736150,333,,16/4/2024 06:14:35,3,0,
736151,221,,16/4/2024 06:17:12,3,0,
736152,744,,16/4/2024 06:20:40,3,0,
736153,745,,16/4/2024 06:20:46,3,0,
736154,693,,16/4/2024 06:17:42,4,0,
736155,693,,16/4/2024 06:17:44,4,0,
736156,670,,16/4/2024 06:18:12,4,0,
736157,146,,16/4/2024 06:02:17,5,0,
736158,230,,16/4/2024 06:21:17,5,0,
736159,819,,16/4/2024 06:24:08,1,0,
736160,196,,16/4/2024 06:26:38,1,0,
736161,270,,16/4/2024 06:27:33,4,0,
736162,268,,16/4/2024 06:30:14,4,0,
736163,265,,16/4/2024 06:31:22,1,0,
736164,128,,16/4/2024 06:36:49,1,0,
736165,179,,16/4/2024 06:23:59,3,0,
736166,786,,16/4/2024 06:29:48,3,0,
736167,109,,16/4/2024 06:31:05,3,0,
736168,822,,16/4/2024 06:37:26,3,0,
736169,143,,16/4/2024 06:32:05,4,0,
736170,148,,16/4/2024 06:35:51,4,0,
736171,260,,16/4/2024 06:44:36,1,0,
736172,259,,16/4/2024 06:45:06,3,0,
736173,297,,16/4/2024 06:39:39,4,0,
736174,256,,16/4/2024 06:41:18,4,0,
736175,310,,16/4/2024 06:48:36,1,0,
736176,852,,16/4/2024 06:51:57,1,0,
736177,248,,16/4/2024 06:05:46,2,0,
736178,258,,16/4/2024 06:15:47,2,0,
736179,246,,16/4/2024 06:38:11,2,0,
736180,140,,16/4/2024 06:38:16,2,0,
736181,801,,16/4/2024 06:49:47,3,0,
736182,239,,16/4/2024 06:51:40,3,0,
736183,193,,16/4/2024 06:51:45,3,0,
736184,218,,16/4/2024 06:53:07,3,0,
736185,641,,16/4/2024 06:47:55,4,0,
736186,304,,16/4/2024 06:52:51,4,0,
736187,151,,16/4/2024 06:53:32,4,0,
736188,273,,16/4/2024 06:38:54,5,0,
736189,298,,16/4/2024 06:42:54,5,0,
736190,683,,16/4/2024 06:44:47,5,0,
736191,724,,16/4/2024 06:52:34,5,0,
736192,828,,16/4/2024 06:52:37,5,0,
736193,147,,16/4/2024 06:55:09,3,0,
736194,123,,16/4/2024 06:55:37,3,0,
736195,781,,16/4/2024 06:56:11,3,0,
736196,661,,16/4/2024 06:53:57,4,0,
736197,823,,16/4/2024 06:55:48,4,0,
736198,272,,16/4/2024 06:57:02,4,0,
736199,890,,16/4/2024 06:59:09,4,0,
736200,139,,16/4/2024 06:59:57,4,0,
736201,707,,16/4/2024 07:00:21,5,0,
736202,878,,16/4/2024 07:05:35,1,0,
736203,169,,16/4/2024 07:02:33,3,0,
736204,866,,16/4/2024 07:02:37,3,0,
736205,649,,16/4/2024 07:00:57,5,0,
736206,102,,16/4/2024 07:02:13,5,0,
736207,243,,16/4/2024 07:12:54,1,0,
736208,798,,16/4/2024 07:07:36,3,0,
736209,829,,16/4/2024 07:07:42,3,0,
736210,131,,16/4/2024 07:10:57,3,0,
736211,159,,16/4/2024 07:12:46,3,0,
736212,573,,16/4/2024 07:14:48,5,0,
736213,687,,16/4/2024 07:14:07,1,0,
736214,898,,16/4/2024 07:14:14,1,0,
736215,787,,16/4/2024 07:17:12,3,0,
736216,814,,16/4/2024 07:17:28,3,0,
736217,266,,16/4/2024 07:17:18,5,0,
736218,857,,16/4/2024 07:22:21,5,0,
736219,853,,16/4/2024 07:26:20,1,0,
736220,861,,16/4/2024 07:27:23,1,0,
736221,244,,16/4/2024 07:27:50,1,0,
736222,736,,16/4/2024 07:26:04,3,0,
736223,376,,16/4/2024 07:29:02,3,0,
736224,617,,16/4/2024 07:11:30,4,0,
736225,865,,16/4/2024 07:13:58,4,0,
736226,362,,16/4/2024 07:16:48,4,0,
736227,101,,16/4/2024 07:26:42,4,0,
736228,770,,16/4/2024 07:30:40,1,0,
736229,709,,16/4/2024 07:31:43,1,0,
736230,709,,16/4/2024 07:31:44,1,0,
736231,105,,16/4/2024 07:36:14,3,0,
736232,350,,16/4/2024 07:36:19,3,0,
736233,121,,16/4/2024 07:28:59,5,0,
736234,854,,16/4/2024 07:30:13,5,0,
736235,145,,16/4/2024 07:32:49,5,0,
736236,785,,16/4/2024 07:32:52,5,0,
736237,871,,16/4/2024 07:39:30,1,0,
736238,280,,16/4/2024 07:43:45,1,0,
736239,352,,16/4/2024 07:45:06,1,0,
736240,840,,16/4/2024 07:45:42,1,0,
736241,845,,16/4/2024 07:45:48,1,0,
736242,115,,16/4/2024 07:43:19,3,0,
736243,106,,16/4/2024 07:44:18,5,0,
736244,690,,16/4/2024 07:46:27,5,0,
736245,353,,16/4/2024 07:46:44,5,0,
736246,133,,16/4/2024 07:52:59,1,0,
736247,255,,16/4/2024 07:07:02,2,0,
736248,134,,16/4/2024 07:08:01,2,0,
736249,173,,16/4/2024 07:12:37,2,0,
736250,213,,16/4/2024 07:14:48,2,0,
736251,110,,16/4/2024 07:32:05,2,0,
736252,204,,16/4/2024 07:33:41,2,0,
736253,254,,16/4/2024 07:34:32,2,0,
736254,765,,16/4/2024 07:46:28,2,0,
736255,202,,16/4/2024 07:46:49,2,0,
736256,200,,16/4/2024 07:49:23,2,0,
736257,164,,16/4/2024 07:52:15,2,0,
736258,348,,16/4/2024 07:52:23,2,0,
736259,289,,16/4/2024 07:53:59,2,0,
736260,289,,16/4/2024 07:54:00,2,0,
736261,737,,16/4/2024 07:31:46,4,0,
736262,319,,16/4/2024 07:33:02,4,0,
736263,342,,16/4/2024 07:34:23,4,0,
736264,796,,16/4/2024 07:35:54,4,0,
736265,794,,16/4/2024 07:37:55,4,0,
736266,653,,16/4/2024 07:47:35,4,0,
736267,113,,16/4/2024 07:49:27,5,0,
736268,855,,16/4/2024 07:53:22,5,0,
736269,837,,16/4/2024 07:53:47,5,0,
736270,760,,16/4/2024 07:55:41,1,0,
736271,851,,16/4/2024 08:01:58,1,0,
736272,163,,16/4/2024 07:52:22,3,0,
736273,136,,16/4/2024 07:53:42,3,0,
736274,856,,16/4/2024 07:56:32,3,0,
736275,112,,16/4/2024 07:59:10,3,0,
736276,160,,16/4/2024 08:00:18,3,0,
736277,224,,16/4/2024 07:58:24,4,0,
736278,713,,16/4/2024 07:58:27,4,0,
736279,869,,16/4/2024 08:03:29,5,0,
736280,317,,16/4/2024 08:05:58,1,0,
736281,261,,16/4/2024 08:07:48,1,0,
736282,783,,16/4/2024 08:08:08,1,0,
736283,372,,16/4/2024 08:09:32,1,0,
736284,222,,16/4/2024 07:56:15,2,0,
736285,278,,16/4/2024 08:01:51,2,0,
736286,675,,16/4/2024 08:04:30,3,0,
736287,357,,16/4/2024 08:07:32,4,0,
736288,799,,16/4/2024 08:09:16,4,0,
736289,166,,16/4/2024 08:11:16,5,0,
736290,130,,16/4/2024 08:10:45,1,0,
736291,812,,16/4/2024 08:11:36,1,0,
736292,812,,16/4/2024 08:11:38,1,0,
736293,833,,16/4/2024 08:11:46,1,0,
736294,275,,16/4/2024 08:13:29,1,0,
736295,830,,16/4/2024 08:15:58,1,0,
736296,762,,16/4/2024 08:12:50,5,0,
736297,677,,16/4/2024 08:12:53,5,0,
736298,185,,16/4/2024 08:17:53,1,0,
736299,818,,16/4/2024 08:20:47,1,0,
736300,220,,16/4/2024 08:21:43,1,0,
736301,813,,16/4/2024 08:19:11,3,0,
736302,708,,16/4/2024 08:22:50,4,0,
736303,356,,16/4/2024 08:25:06,4,0,
736304,771,,16/4/2024 08:26:37,4,0,
736305,249,,16/4/2024 08:25:24,1,0,
736306,825,,16/4/2024 08:27:02,1,0,
736307,682,,16/4/2024 08:27:35,1,0,
736308,211,,16/4/2024 08:28:32,1,0,
736309,763,,16/4/2024 08:29:14,1,0,
736310,795,,16/4/2024 08:29:18,1,0,
736311,125,,16/4/2024 08:29:00,3,1,
736312,125,,16/4/2024 08:29:05,3,0,
736313,791,,16/4/2024 08:31:19,3,0,
736314,816,,16/4/2024 08:33:58,3,0,
736315,816,,16/4/2024 08:34:01,3,0,
736316,635,,16/4/2024 08:33:41,4,0,
736317,565,,16/4/2024 08:37:03,1,0,
736318,793,,16/4/2024 08:37:24,1,0,
736319,895,,16/4/2024 08:38:55,1,0,
736320,234,,16/4/2024 08:35:48,3,0,
736321,768,,16/4/2024 08:41:07,3,0,
736322,345,,16/4/2024 08:35:23,4,0,
736323,817,,16/4/2024 08:36:30,4,0,
736324,885,,16/4/2024 08:37:07,5,0,
736325,135,,16/4/2024 08:40:40,5,0,
736326,197,,16/4/2024 08:41:39,1,0,
736327,870,,16/4/2024 08:44:04,1,0,
736328,306,,16/4/2024 08:45:25,1,0,
736329,216,,16/4/2024 08:45:30,1,0,
736330,797,,16/4/2024 08:46:48,3,0,
736331,850,,16/4/2024 08:46:53,3,0,
736332,729,,16/4/2024 08:43:03,4,0,
736333,827,,16/4/2024 08:43:37,4,0,
736334,859,,16/4/2024 08:46:28,4,0,
736335,742,,16/4/2024 08:48:00,4,0,
736336,313,,16/4/2024 08:44:26,5,0,
736337,156,,16/4/2024 08:44:36,5,0,
736338,201,,16/4/2024 08:44:47,5,0,
736339,194,,16/4/2024 08:45:01,5,0,
736340,689,,16/4/2024 08:48:19,1,0,
736341,784,,16/4/2024 08:49:58,1,0,
736342,195,,16/4/2024 08:50:25,1,0,
736343,738,,16/4/2024 08:54:44,1,0,
736344,267,,16/4/2024 08:54:50,1,0,
736345,117,,16/4/2024 08:51:55,3,0,
736346,740,,16/4/2024 08:52:45,3,0,
736347,322,,16/4/2024 08:49:11,4,0,
736348,651,,16/4/2024 08:53:55,4,0,
736349,746,,16/4/2024 08:54:27,4,0,
736350,263,,16/4/2024 08:53:46,5,0,
736351,654,,16/4/2024 08:53:48,5,0,
736352,773,,16/4/2024 08:55:40,5,0,
736353,369,,16/4/2024 08:56:24,1,0,
736354,897,,16/4/2024 08:56:50,1,0,
736355,162,,16/4/2024 09:01:08,1,0,
736356,800,,16/4/2024 08:58:47,3,0,
736357,198,,16/4/2024 09:01:39,3,0,
736358,198,,16/4/2024 09:01:42,3,0,
736359,821,,16/4/2024 08:56:34,4,0,
736360,684,,16/4/2024 08:59:23,4,0,
736361,679,,16/4/2024 08:56:21,5,0,
736362,191,,16/4/2024 08:56:25,5,0,
736363,183,,16/4/2024 08:58:29,5,0,
736364,767,,16/4/2024 08:58:32,5,0,
736365,274,,16/4/2024 09:01:07,5,0,
736366,846,,16/4/2024 09:02:13,1,0,
736367,343,,16/4/2024 09:05:05,1,0,
736368,154,,16/4/2024 09:04:58,3,0,
736369,247,,16/4/2024 09:03:30,4,0,
736370,124,,16/4/2024 09:05:44,4,0,
736371,279,,16/4/2024 09:09:39,4,0,
736372,118,,16/4/2024 09:12:17,3,0,
736373,165,,16/4/2024 09:12:20,3,0,
736374,843,,16/4/2024 09:13:20,5,0,
736375,877,,16/4/2024 09:14:24,5,0,
736376,251,,16/4/2024 09:16:34,5,0,
736377,838,,16/4/2024 09:16:40,5,0,
736378,155,,16/4/2024 08:21:02,2,0,
736379,887,,16/4/2024 08:36:29,2,0,
736380,864,,16/4/2024 08:56:34,2,0,
736381,743,,16/4/2024 09:17:46,3,0,
736382,831,,16/4/2024 09:18:19,4,0,
736383,847,,16/4/2024 09:23:27,5,0,
736384,116,,16/4/2024 09:27:05,2,0,
736385,227,,16/4/2024 09:27:08,3,0,
736386,150,,16/4/2024 09:37:39,1,0,
736387,792,,16/4/2024 09:39:13,1,0,
736388,312,,16/4/2024 09:38:52,5,0,
736389,238,,16/4/2024 09:49:47,3,0,
736390,671,,16/4/2024 09:54:30,3,0,
736391,188,,16/4/2024 09:54:00,5,0,
736392,167,,16/4/2024 10:17:09,4,0,
736393,175,,16/4/2024 10:22:02,3,0,
736394,826,,16/4/2024 11:29:57,4,0,
736395,795,,16/4/2024 12:00:06,1,1,
736396,825,,16/4/2024 12:00:10,1,1,
736397,795,,16/4/2024 12:00:14,1,0,
736398,825,,16/4/2024 12:00:16,1,0,
736399,607,,16/4/2024 12:00:22,1,1,
736400,607,,16/4/2024 12:00:27,1,0,
736401,261,,16/4/2024 12:00:32,1,1,
736402,261,,16/4/2024 12:00:39,1,0,
736403,687,,16/4/2024 12:00:59,1,1,
736404,687,,16/4/2024 12:01:04,1,0,
736405,133,,16/4/2024 12:01:10,1,1,
