biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
751606,635,,5/4/2024 17:13:05,3,1,1
751607,635,,12/4/2024 07:08:56,3,0,1
751608,635,,12/4/2024 12:11:07,3,1,1
751609,635,,12/4/2024 12:11:21,3,0,1
751610,635,,15/4/2024 07:07:47,3,0,1
751611,635,,15/4/2024 12:08:15,3,1,1
751612,635,,15/4/2024 12:08:27,3,0,1
751613,635,,15/4/2024 17:11:06,3,1,1
751614,635,,26/4/2024 07:08:45,3,0,1
751615,635,,26/4/2024 12:37:59,3,1,1
751616,635,,26/4/2024 12:38:10,3,0,1
751617,635,,26/4/2024 17:12:22,3,1,1
751618,640,,1/4/2024 07:31:35,3,0,1
751619,640,,1/4/2024 07:31:37,3,0,1
751620,640,,1/4/2024 13:20:46,3,1,1
751621,640,,1/4/2024 13:20:49,3,0,1
751622,640,,1/4/2024 17:35:52,3,1,1
751623,640,,1/4/2024 17:35:54,3,1,1
751624,640,,2/4/2024 07:40:44,3,0,1
751625,640,,2/4/2024 07:40:46,3,0,1
751626,640,,2/4/2024 12:14:13,3,1,1
751627,640,,2/4/2024 12:14:24,3,0,1
751628,640,,2/4/2024 16:54:22,3,1,1
751629,640,,3/4/2024 07:41:38,3,0,1
751630,640,,3/4/2024 07:41:41,3,0,1
751631,640,,8/4/2024 07:45:32,3,0,1
751632,640,,8/4/2024 07:45:34,3,0,1
751633,640,,8/4/2024 07:45:35,3,0,1
751634,640,,8/4/2024 12:05:51,3,1,1
751635,640,,8/4/2024 12:06:31,3,0,1
751636,640,,8/4/2024 17:00:43,3,1,1
751637,640,,8/4/2024 17:00:47,3,1,1
751638,640,,11/4/2024 08:05:51,3,0,1
751639,640,,11/4/2024 08:05:53,3,0,1
751640,640,,11/4/2024 12:01:00,3,1,1
751641,640,,11/4/2024 12:01:03,3,1,1
751642,640,,11/4/2024 12:34:37,3,0,1
751643,640,,11/4/2024 12:34:41,3,0,1
751644,640,,11/4/2024 17:08:00,3,1,1
751645,640,,12/4/2024 07:58:28,3,0,1
751646,640,,12/4/2024 07:58:30,3,0,1
751647,640,,12/4/2024 12:05:39,3,1,1
751648,640,,12/4/2024 12:05:43,3,1,1
751649,640,,12/4/2024 12:34:03,3,0,1
751650,640,,12/4/2024 12:34:06,3,0,1
751651,640,,12/4/2024 17:00:36,3,1,1
751652,640,,12/4/2024 17:00:40,3,1,1
751653,640,,16/4/2024 07:57:05,3,0,1
751654,640,,16/4/2024 07:57:07,3,0,1
751655,640,,16/4/2024 07:57:09,3,0,1
751656,640,,16/4/2024 12:05:54,3,1,1
751657,640,,16/4/2024 12:37:11,3,0,1
751658,640,,16/4/2024 12:37:14,3,0,1
751659,640,,16/4/2024 17:39:32,3,1,1
751660,640,,16/4/2024 17:39:34,3,1,1
751661,640,,16/4/2024 17:39:35,3,1,1
751662,640,,17/4/2024 08:05:08,3,0,1
751663,640,,17/4/2024 08:05:10,3,0,1
751664,640,,17/4/2024 12:11:45,3,1,1
751665,640,,17/4/2024 12:11:48,3,1,1
751666,640,,17/4/2024 12:27:53,3,0,1
751667,640,,17/4/2024 12:27:56,3,0,1
751668,640,,17/4/2024 17:05:48,3,1,1
751669,640,,18/4/2024 08:29:22,3,0,1
751670,640,,18/4/2024 08:29:24,3,0,1
