biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
749606,251,,8/4/2024 12:11:45,3,0,1
749607,251,,8/4/2024 20:41:12,3,1,1
749608,251,,19/4/2024 07:46:06,3,0,1
749609,251,,19/4/2024 12:05:25,3,1,1
749610,251,,19/4/2024 12:05:29,3,0,1
749611,251,,19/4/2024 19:57:38,3,1,1
749612,251,,26/4/2024 07:50:30,3,0,1
749613,251,,26/4/2024 12:22:30,3,1,1
749614,251,,26/4/2024 12:22:32,3,0,1
749615,251,,26/4/2024 21:28:22,3,1,1
749616,251,,30/4/2024 07:52:13,3,0,1
749617,251,,30/4/2024 12:36:35,3,1,1
749618,251,,30/4/2024 12:36:36,3,0,1
749619,251,,30/4/2024 18:03:48,3,1,1
749620,202,,3/4/2024 07:15:00,3,0,1
749621,202,,3/4/2024 12:01:45,3,1,1
749622,202,,3/4/2024 12:02:06,3,0,1
749623,202,,3/4/2024 20:53:12,3,1,1
749624,202,,8/4/2024 07:36:27,3,0,1
749625,202,,8/4/2024 12:16:13,3,1,1
749626,202,,8/4/2024 12:16:16,3,0,1
749627,202,,8/4/2024 21:11:01,3,1,1
749628,202,,15/4/2024 08:22:25,3,0,1
749629,202,,15/4/2024 12:11:26,3,1,1
749630,202,,15/4/2024 12:11:30,3,0,1
749631,202,,15/4/2024 21:41:40,3,1,1
749632,202,,23/4/2024 07:31:34,3,0,1
749633,202,,23/4/2024 12:04:38,3,1,1
749634,202,,23/4/2024 12:04:42,3,0,1
749635,202,,23/4/2024 19:23:23,3,1,1
749636,191,,4/4/2024 07:47:36,3,0,1
749637,191,,4/4/2024 12:58:38,3,1,1
749638,191,,4/4/2024 12:58:43,3,0,1
749639,191,,4/4/2024 20:59:08,3,1,1
749640,298,,12/4/2024 07:36:16,3,0,1
749641,298,,12/4/2024 12:46:32,3,1,1
749642,298,,12/4/2024 12:46:35,3,0,1
749643,298,,12/4/2024 17:02:47,3,1,1
749644,298,,26/4/2024 07:14:54,3,0,1
749645,298,,26/4/2024 12:03:11,3,1,1
749646,298,,26/4/2024 12:03:35,3,0,1
749647,313,,3/4/2024 07:41:00,3,0,1
749648,313,,3/4/2024 12:47:27,3,1,1
749649,313,,3/4/2024 12:47:31,3,0,1
749650,313,,8/4/2024 07:13:24,3,0,1
749651,313,,8/4/2024 12:11:10,3,1,1
749652,313,,8/4/2024 12:11:13,3,0,1
749653,313,,8/4/2024 18:14:40,3,1,1
749654,313,,19/4/2024 07:30:31,3,0,1
749655,313,,19/4/2024 12:15:54,3,0,1
749656,313,,19/4/2024 12:16:11,3,1,1
749657,393,,5/4/2024 07:48:49,3,0,1
749658,393,,5/4/2024 12:34:37,3,1,1
749659,393,,5/4/2024 12:35:21,3,0,1
749660,393,,5/4/2024 17:16:36,3,1,1
749661,393,,8/4/2024 07:19:49,3,0,1
749662,393,,8/4/2024 12:03:21,3,1,1
749663,393,,8/4/2024 12:05:10,3,0,1
749664,393,,8/4/2024 20:14:18,3,1,1
749665,393,,26/4/2024 07:46:06,3,0,1
749666,393,,26/4/2024 12:19:26,3,1,1
749667,393,,26/4/2024 12:29:27,3,0,1
749668,397,,5/4/2024 07:27:57,3,0,1
749669,397,,5/4/2024 12:24:00,3,0,1
749670,397,,5/4/2024 12:25:19,3,1,1
749671,397,,5/4/2024 22:31:56,3,1,1
749672,397,,8/4/2024 07:26:49,3,0,1
749673,397,,8/4/2024 12:03:59,3,1,1
749674,397,,8/4/2024 12:04:24,3,0,1
749675,397,,8/4/2024 18:24:08,3,1,1
749676,397,,19/4/2024 07:11:40,3,0,1
749677,397,,19/4/2024 12:21:27,3,1,1
749678,397,,19/4/2024 12:21:37,3,0,1
749679,397,,19/4/2024 19:33:42,3,1,1
749680,399,,1/4/2024 08:01:34,3,0,1
749681,399,,1/4/2024 12:16:50,3,1,1
749682,399,,1/4/2024 12:16:56,3,0,1
749683,399,,5/4/2024 12:39:52,3,1,1
749684,399,,5/4/2024 12:39:55,3,0,1
749685,380,,1/4/2024 08:29:04,3,0,1
749686,380,,1/4/2024 12:18:32,3,1,1
749687,380,,1/4/2024 12:18:35,3,0,1
749688,380,,1/4/2024 17:36:27,3,1,1
749689,404,,1/4/2024 08:03:11,3,0,1
749690,404,,1/4/2024 12:16:16,3,1,1
749691,404,,1/4/2024 12:16:22,3,0,1
749692,404,,1/4/2024 18:06:18,3,1,1
749693,496,,1/4/2024 07:20:31,3,0,1
749694,496,,1/4/2024 17:22:40,3,1,1
749695,496,,2/4/2024 07:00:30,3,0,1
749696,496,,2/4/2024 17:34:29,3,1,1
749697,496,,3/4/2024 07:09:21,3,0,1
749698,496,,3/4/2024 19:11:03,3,1,1
749699,496,,4/4/2024 07:06:12,3,0,1
749700,496,,4/4/2024 18:23:12,3,1,1
749701,496,,5/4/2024 07:05:21,3,0,1
749702,496,,8/4/2024 07:01:31,3,0,1
749703,496,,8/4/2024 18:53:52,3,1,1
749704,496,,12/4/2024 12:52:30,3,0,1
749705,496,,12/4/2024 12:52:33,3,1,1
749706,581,,1/4/2024 08:35:36,3,0,1
749707,581,,1/4/2024 12:07:19,3,1,1
749708,581,,1/4/2024 12:08:54,3,0,1
749709,581,,1/4/2024 17:36:57,3,1,1
749710,409,,1/4/2024 08:17:45,3,0,1
749711,409,,1/4/2024 12:53:36,3,1,1
749712,409,,1/4/2024 12:53:40,3,0,1
749713,409,,1/4/2024 20:35:23,3,1,1
749714,492,,1/4/2024 08:00:25,3,0,1
749715,492,,1/4/2024 12:14:09,3,1,1
749716,492,,1/4/2024 12:14:11,3,0,1
749717,492,,1/4/2024 19:22:32,3,1,1
749718,492,,2/4/2024 07:10:31,3,0,1
749719,492,,2/4/2024 12:23:23,3,1,1
749720,492,,2/4/2024 12:23:28,3,0,1
749721,492,,2/4/2024 18:12:49,3,1,1
749722,492,,3/4/2024 07:12:08,3,0,1
749723,492,,3/4/2024 12:17:51,3,1,1
749724,492,,3/4/2024 12:17:51,3,0,1
749725,492,,3/4/2024 18:28:06,3,1,1
749726,492,,4/4/2024 08:18:41,3,0,1
749727,492,,4/4/2024 12:27:08,3,1,1
749728,492,,4/4/2024 12:27:11,3,0,1
749729,492,,5/4/2024 07:17:41,3,0,1
749730,492,,5/4/2024 12:15:07,3,1,1
749731,492,,5/4/2024 12:15:10,3,0,1
749732,492,,5/4/2024 17:29:17,3,1,1
749733,492,,8/4/2024 07:07:12,3,0,1
749734,492,,8/4/2024 12:14:18,3,1,1
749735,492,,8/4/2024 12:14:20,3,0,1
749736,492,,8/4/2024 17:31:54,3,1,1
749737,492,,11/4/2024 07:31:17,3,0,1
749738,492,,11/4/2024 07:31:19,3,0,1
749739,492,,11/4/2024 12:30:51,3,1,1
749740,492,,11/4/2024 12:30:54,3,0,1
749741,492,,11/4/2024 18:01:19,3,1,1
749742,492,,11/4/2024 18:01:28,3,1,1
749743,492,,12/4/2024 08:02:28,3,0,1
749744,492,,12/4/2024 12:27:32,3,1,1
749745,492,,12/4/2024 12:27:34,3,0,1
749746,492,,12/4/2024 17:10:38,3,1,1
749747,492,,17/4/2024 07:01:16,3,0,1
749748,492,,17/4/2024 12:17:54,3,1,1
749749,492,,17/4/2024 12:18:14,3,0,1
749750,492,,17/4/2024 17:44:00,3,1,1
749751,495,,1/4/2024 08:23:51,3,0,1
749752,495,,1/4/2024 12:22:35,3,1,1
749753,495,,1/4/2024 12:26:48,3,0,1
749754,495,,1/4/2024 17:24:37,3,1,1
749755,495,,2/4/2024 07:42:31,3,0,1
