biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
735028,886,,15/4/2024 08:02:17,5,0,
735029,677,,15/4/2024 08:02:20,5,0,
735030,784,,15/4/2024 08:10:38,1,0,
735031,164,,15/4/2024 08:07:52,2,0,
735032,255,,15/4/2024 08:09:58,2,0,
735033,112,,15/4/2024 08:10:06,3,0,
735034,234,,15/4/2024 08:11:49,3,0,
735035,860,,15/4/2024 08:09:44,4,0,
735036,224,,15/4/2024 08:11:31,4,0,
735037,882,,15/4/2024 08:10:09,5,0,
735038,818,,15/4/2024 08:14:48,1,0,
735039,280,,15/4/2024 08:14:53,1,0,
735040,565,,15/4/2024 08:16:23,1,0,
735041,216,,15/4/2024 08:16:29,1,0,
735042,887,,15/4/2024 08:14:03,2,0,
735043,222,,15/4/2024 08:17:12,2,0,
735044,155,,15/4/2024 08:19:17,2,0,
735045,136,,15/4/2024 08:17:19,3,0,
735046,573,,15/4/2024 08:17:44,5,0,
735047,649,,15/4/2024 08:20:10,5,0,
735048,211,,15/4/2024 08:23:44,1,0,
735049,825,,15/4/2024 08:26:22,1,0,
735050,653,,15/4/2024 08:25:19,4,0,
735051,281,,15/4/2024 08:23:23,5,0,
735052,868,,15/4/2024 08:25:48,5,0,
735053,243,,15/4/2024 08:28:17,1,0,
735054,317,,15/4/2024 08:28:24,1,0,
735055,763,,15/4/2024 08:30:49,1,0,
735056,795,,15/4/2024 08:30:52,1,0,
735057,220,,15/4/2024 08:31:01,1,0,
735058,895,,15/4/2024 08:31:12,1,0,
735059,870,,15/4/2024 08:31:53,1,0,
735060,816,,15/4/2024 08:28:08,3,0,
735061,729,,15/4/2024 08:27:51,4,0,
735062,827,,15/4/2024 08:27:57,4,0,
735063,713,,15/4/2024 08:28:05,4,0,
735064,279,,15/4/2024 08:32:37,4,0,
735065,762,,15/4/2024 08:27:34,5,0,
735066,194,,15/4/2024 08:30:21,5,0,
735067,267,,15/4/2024 08:33:11,1,0,
735068,880,,15/4/2024 08:34:05,1,0,
735069,487,,15/4/2024 08:34:09,1,0,
735070,750,,15/4/2024 08:36:31,1,0,
735071,195,,15/4/2024 08:36:37,1,0,
735072,824,,15/4/2024 08:36:40,1,0,
735073,200,,15/4/2024 08:33:31,2,0,
735074,238,,15/4/2024 08:36:25,3,0,
735075,898,,15/4/2024 08:40:43,1,0,
735076,792,,15/4/2024 08:41:39,1,0,
735077,197,,15/4/2024 08:42:26,1,0,
735078,897,,15/4/2024 08:44:20,1,0,
735079,800,,15/4/2024 08:41:23,3,0,
735080,671,,15/4/2024 08:42:12,3,0,
735081,768,,15/4/2024 08:45:10,3,0,
735082,831,,15/4/2024 08:45:01,4,0,
735083,251,,15/4/2024 08:35:22,5,0,
735084,838,,15/4/2024 08:37:45,5,0,
735085,773,,15/4/2024 08:41:06,5,0,
735086,885,,15/4/2024 08:44:02,5,0,
735087,375,,15/4/2024 08:45:19,5,0,
735088,185,,15/4/2024 08:51:01,1,0,
735089,125,,15/4/2024 08:49:13,3,0,
735090,177,,15/4/2024 08:47:07,4,0,
735091,746,,15/4/2024 08:50:41,4,0,
735092,651,,15/4/2024 08:52:38,4,0,
735093,191,,15/4/2024 08:46:42,5,0,
735094,679,,15/4/2024 08:46:45,5,0,
735095,156,,15/4/2024 08:50:22,5,0,
735096,837,,15/4/2024 08:52:22,5,0,
735097,864,,15/4/2024 08:54:01,2,0,
735098,740,,15/4/2024 08:53:48,3,0,
735099,859,,15/4/2024 08:53:28,4,0,
735100,355,,15/4/2024 08:54:52,4,0,
735101,135,,15/4/2024 08:56:20,5,0,
735102,847,,15/4/2024 08:56:24,5,0,
735103,343,,15/4/2024 08:59:38,1,0,
735104,369,,15/4/2024 09:01:15,1,0,
735105,793,,15/4/2024 09:02:01,1,0,
735106,124,,15/4/2024 09:03:56,4,0,
735107,767,,15/4/2024 09:00:27,5,0,
735108,274,,15/4/2024 09:04:24,5,0,
735109,843,,15/4/2024 09:04:30,5,0,
735110,162,,15/4/2024 09:07:48,1,0,
735111,834,,15/4/2024 09:15:01,1,0,
735112,765,,15/4/2024 09:10:43,2,0,
735113,116,,15/4/2024 09:15:49,2,0,
735114,247,,15/4/2024 09:14:08,4,0,
735115,263,,15/4/2024 09:13:50,5,0,
735116,654,,15/4/2024 09:13:54,5,0,
735117,227,,15/4/2024 09:18:55,3,0,
735118,118,,15/4/2024 09:20:37,3,0,
735119,732,,15/4/2024 09:24:00,3,0,
735120,771,,15/4/2024 09:27:49,4,0,
735121,877,,15/4/2024 09:26:09,5,0,
735122,706,,15/4/2024 09:33:40,1,0,
735123,198,,15/4/2024 09:47:39,3,0,
735124,684,,15/4/2024 09:49:31,4,0,
735125,175,,15/4/2024 10:21:02,3,0,
735126,165,,15/4/2024 10:48:14,3,0,
735127,167,,15/4/2024 11:00:42,4,0,
735128,733,,15/4/2024 11:29:58,3,0,
735129,196,,15/4/2024 12:00:05,1,1,
735130,196,,15/4/2024 12:00:08,1,0,
735131,174,,15/4/2024 12:00:19,1,1,
735132,269,,15/4/2024 12:00:25,1,1,
735133,185,,15/4/2024 12:00:35,1,1,
735134,133,,15/4/2024 12:00:45,1,1,
735135,133,,15/4/2024 12:00:48,1,0,
735136,174,,15/4/2024 12:01:14,1,0,
735137,269,,15/4/2024 12:01:20,1,0,
735138,760,,15/4/2024 12:01:27,1,1,
735139,897,,15/4/2024 12:01:33,1,1,
735140,851,,15/4/2024 12:01:38,1,1,
735141,819,,15/4/2024 12:01:43,1,1,
735142,770,,15/4/2024 12:01:48,1,1,
735143,770,,15/4/2024 12:01:53,1,0,
735144,760,,15/4/2024 12:01:54,1,0,
735145,851,,15/4/2024 12:01:56,1,0,
735146,819,,15/4/2024 12:01:59,1,0,
735147,898,,15/4/2024 12:02:09,1,1,
735148,898,,15/4/2024 12:02:16,1,0,
735149,792,,15/4/2024 12:02:22,1,1,
735150,792,,15/4/2024 12:02:25,1,0,
735151,310,,15/4/2024 12:02:48,1,1,
735152,741,,15/4/2024 12:02:54,1,1,
735153,310,,15/4/2024 12:02:58,1,0,
735154,741,,15/4/2024 12:03:03,1,0,
735155,871,,15/4/2024 12:03:13,1,1,
735156,689,,15/4/2024 12:03:19,1,1,
735157,689,,15/4/2024 12:03:23,1,0,
735158,369,,15/4/2024 12:03:26,1,1,
735159,369,,15/4/2024 12:03:29,1,0,
735160,198,,15/4/2024 12:03:36,1,1,
735161,198,,15/4/2024 12:03:38,1,0,
735162,249,,15/4/2024 12:03:46,1,1,
735163,818,,15/4/2024 12:03:53,1,1,
735164,818,,15/4/2024 12:03:56,1,0,
735165,852,,15/4/2024 12:04:01,1,1,
735166,852,,15/4/2024 12:04:05,1,0,
735167,844,,15/4/2024 12:04:10,1,1,
735168,844,,15/4/2024 12:04:13,1,0,
735169,211,,15/4/2024 12:04:21,1,1,
735170,211,,15/4/2024 12:04:24,1,0,
735171,155,,15/4/2024 12:02:06,2,1,
735172,155,,15/4/2024 12:03:02,2,0,
735173,212,,15/4/2024 12:00:33,3,1,
735174,212,,15/4/2024 12:00:40,3,0,
735175,159,,15/4/2024 12:01:17,3,1,
735176,159,,15/4/2024 12:01:21,3,0,
735177,858,,15/4/2024 12:01:45,3,1,
735178,858,,15/4/2024 12:02:00,3,0,
735179,234,,15/4/2024 12:02:25,3,1,
735180,234,,15/4/2024 12:02:29,3,0,
735181,745,,15/4/2024 12:02:42,3,1,
735182,744,,15/4/2024 12:02:47,3,1,
735183,745,,15/4/2024 12:02:52,3,0,
735184,744,,15/4/2024 12:02:55,3,0,
735185,131,,15/4/2024 12:04:26,3,0,
735186,131,,15/4/2024 12:04:29,3,0,
735187,139,,15/4/2024 12:00:42,4,1,
735188,139,,15/4/2024 12:01:08,4,0,
735189,304,,15/4/2024 12:01:16,4,1,
735190,304,,15/4/2024 12:01:21,4,0,
735191,684,,15/4/2024 12:01:40,4,1,
735192,684,,15/4/2024 12:01:43,4,0,
735193,151,,15/4/2024 12:01:56,4,1,
735194,151,,15/4/2024 12:01:59,4,0,
735195,355,,15/4/2024 12:02:03,4,1,
735196,355,,15/4/2024 12:02:06,4,0,
735197,661,,15/4/2024 12:02:13,4,1,
735198,899,,15/4/2024 12:02:16,4,1,
735199,766,,15/4/2024 12:02:22,4,1,
735200,766,,15/4/2024 12:02:25,4,0,
735201,661,,15/4/2024 12:02:31,4,0,
735202,899,,15/4/2024 12:02:37,4,0,
735203,865,,15/4/2024 12:02:43,4,1,
735204,357,,15/4/2024 12:02:47,4,0,
735205,357,,15/4/2024 12:02:51,4,1,
735206,865,,15/4/2024 12:02:55,4,0,
735207,224,,15/4/2024 12:03:18,4,1,
735208,224,,15/4/2024 12:03:21,4,0,
735209,137,,15/4/2024 12:00:40,5,1,
735210,137,,15/4/2024 12:00:45,5,0,
735211,573,,15/4/2024 12:00:55,5,1,
735212,149,,15/4/2024 12:01:01,5,1,
735213,762,,15/4/2024 12:01:07,5,1,
735214,762,,15/4/2024 12:01:10,5,0,
735215,573,,15/4/2024 12:01:16,5,0,
735216,149,,15/4/2024 12:01:23,5,0,
735217,785,,15/4/2024 12:01:29,5,1,
735218,785,,15/4/2024 12:01:33,5,0,
735219,855,,15/4/2024 12:01:43,5,1,
735220,855,,15/4/2024 12:01:46,5,0,
735221,194,,15/4/2024 12:01:51,5,1,
735222,194,,15/4/2024 12:01:55,5,0,
735223,847,,15/4/2024 12:02:09,5,1,
735224,847,,15/4/2024 12:02:12,5,0,
735225,353,,15/4/2024 12:02:19,5,1,
735226,353,,15/4/2024 12:02:22,5,0,
735227,843,,15/4/2024 12:02:29,5,1,
735228,843,,15/4/2024 12:02:35,5,0,
735229,375,,15/4/2024 12:03:46,5,1,
735230,375,,15/4/2024 12:03:48,5,1,
735231,375,,15/4/2024 12:03:51,5,0,
735232,145,,15/4/2024 12:04:12,5,1,
735233,145,,15/4/2024 12:04:15,5,0,
735234,249,,15/4/2024 12:05:08,1,0,
735235,157,,15/4/2024 12:05:18,1,1,
735236,157,,15/4/2024 12:05:24,1,0,
735237,895,,15/4/2024 12:05:31,1,1,
735238,682,,15/4/2024 12:05:36,1,1,
735239,895,,15/4/2024 12:05:53,1,0,
735240,682,,15/4/2024 12:05:59,1,0,
735241,763,,15/4/2024 12:06:57,1,1,
735242,763,,15/4/2024 12:07:00,1,0,
735243,216,,15/4/2024 12:07:33,1,1,
735244,216,,15/4/2024 12:07:42,1,0,
735245,244,,15/4/2024 12:07:47,1,1,
735246,244,,15/4/2024 12:07:49,1,0,
735247,267,,15/4/2024 12:07:56,1,1,
735248,267,,15/4/2024 12:07:59,1,0,
735249,862,,15/4/2024 12:08:04,1,1,
735250,824,,15/4/2024 12:08:07,1,1,
735251,862,,15/4/2024 12:08:10,1,0,
735252,824,,15/4/2024 12:08:12,1,0,
735253,853,,15/4/2024 12:08:17,1,1,
735254,853,,15/4/2024 12:08:21,1,0,
735255,812,,15/4/2024 12:08:28,1,1,
735256,812,,15/4/2024 12:08:32,1,0,
