biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
747054,786,,29/4/2024 12:36:51,3,1,
747055,816,,29/4/2024 12:36:56,3,1,
747056,786,,29/4/2024 12:37:03,3,0,
747057,816,,29/4/2024 12:37:07,3,0,
747058,218,,29/4/2024 12:37:48,3,1,
747059,218,,29/4/2024 12:37:51,3,1,
747060,218,,29/4/2024 12:37:57,3,0,
747061,858,,29/4/2024 12:39:02,3,1,
747062,858,,29/4/2024 12:39:09,3,0,
747063,787,,29/4/2024 12:40:33,3,1,
747064,787,,29/4/2024 12:40:38,3,0,
747065,724,,29/4/2024 11:32:26,5,0,
747066,252,,29/4/2024 12:02:19,5,1,
747067,252,,29/4/2024 12:02:23,5,0,
747068,108,,29/4/2024 12:02:30,5,1,
747069,108,,29/4/2024 12:02:34,5,0,
747070,375,,29/4/2024 12:02:40,5,1,
747071,375,,29/4/2024 12:02:46,5,0,
747072,149,,29/4/2024 12:03:49,5,1,
747073,149,,29/4/2024 12:03:53,5,0,
747074,707,,29/4/2024 12:03:59,5,1,
747075,707,,29/4/2024 12:04:03,5,0,
747076,161,,29/4/2024 12:04:28,5,1,
747077,573,,29/4/2024 12:04:35,5,1,
747078,161,,29/4/2024 12:04:39,5,0,
747079,573,,29/4/2024 12:04:45,5,0,
747080,145,,29/4/2024 12:05:02,5,1,
747081,145,,29/4/2024 12:05:05,5,0,
747082,156,,29/4/2024 12:05:13,5,1,
747083,156,,29/4/2024 12:05:18,5,0,
747084,121,,29/4/2024 12:06:30,5,1,
747085,121,,29/4/2024 12:06:33,5,0,
747086,854,,29/4/2024 12:06:53,5,1,
747087,854,,29/4/2024 12:06:57,5,0,
747088,855,,29/4/2024 12:07:03,5,1,
747089,855,,29/4/2024 12:07:06,5,0,
747090,137,,29/4/2024 12:07:38,5,1,
747091,137,,29/4/2024 12:07:42,5,0,
747092,731,,29/4/2024 12:09:38,5,1,
747093,731,,29/4/2024 12:09:42,5,0,
747094,313,,29/4/2024 12:09:46,5,1,
747095,313,,29/4/2024 12:09:48,5,0,
747096,886,,29/4/2024 12:10:15,5,1,
747097,885,,29/4/2024 12:10:29,5,1,
747098,649,,29/4/2024 12:10:35,5,1,
747099,649,,29/4/2024 12:10:47,5,0,
747100,885,,29/4/2024 12:10:55,5,0,
747101,886,,29/4/2024 12:11:02,5,0,
747102,189,,29/4/2024 12:11:12,5,1,
747103,189,,29/4/2024 12:11:15,5,0,
747104,251,,29/4/2024 12:11:25,5,1,
747105,251,,29/4/2024 12:11:27,5,0,
747106,146,,29/4/2024 12:12:59,5,1,
747107,146,,29/4/2024 12:13:04,5,0,
747108,274,,29/4/2024 12:13:26,5,1,
747109,274,,29/4/2024 12:13:30,5,0,
747110,654,,29/4/2024 12:13:45,5,1,
747111,654,,29/4/2024 12:13:47,5,0,
747112,113,,29/4/2024 12:14:14,5,1,
747113,113,,29/4/2024 12:14:18,5,0,
747114,176,,29/4/2024 12:17:13,5,1,
747115,176,,29/4/2024 12:17:18,5,0,
747116,106,,29/4/2024 12:19:51,5,1,
747117,106,,29/4/2024 12:19:55,5,0,
747118,735,,29/4/2024 12:20:09,5,1,
747119,735,,29/4/2024 12:20:12,5,0,
747120,857,,29/4/2024 12:22:09,5,1,
747121,857,,29/4/2024 12:22:15,5,0,
747122,882,,29/4/2024 12:23:29,5,1,
747123,882,,29/4/2024 12:23:32,5,0,
747124,838,,29/4/2024 12:31:19,5,1,
747125,838,,29/4/2024 12:31:23,5,0,
