biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
752606,600,,4/4/2024 12:25:09,3,0,1
752607,600,,5/4/2024 07:28:22,3,0,1
752608,600,,5/4/2024 12:14:45,3,1,1
752609,600,,5/4/2024 12:15:18,3,0,1
752610,600,,5/4/2024 17:26:52,3,1,1
752611,600,,8/4/2024 07:23:15,3,0,1
752612,600,,8/4/2024 12:19:06,3,1,1
752613,600,,8/4/2024 12:20:22,3,0,1
752614,600,,8/4/2024 17:20:53,3,1,1
752615,600,,11/4/2024 07:18:59,3,0,1
752616,600,,11/4/2024 12:12:44,3,1,1
752617,600,,11/4/2024 12:14:39,3,0,1
752618,600,,11/4/2024 19:38:18,3,1,1
752619,600,,12/4/2024 07:21:15,3,0,1
752620,600,,12/4/2024 12:16:08,3,1,1
752621,600,,12/4/2024 12:19:46,3,0,1
752622,600,,12/4/2024 17:22:50,3,1,1
752623,600,,15/4/2024 07:27:51,3,0,1
752624,600,,15/4/2024 12:11:28,3,1,1
752625,600,,15/4/2024 12:12:26,3,0,1
752626,600,,15/4/2024 19:19:11,3,1,1
752627,600,,16/4/2024 07:18:41,3,0,1
752628,600,,16/4/2024 12:13:56,3,1,1
752629,600,,16/4/2024 12:14:53,3,0,1
752630,600,,16/4/2024 18:55:08,3,1,1
752631,600,,17/4/2024 07:40:35,3,0,1
752632,600,,17/4/2024 12:33:45,3,1,1
752633,600,,17/4/2024 12:34:41,3,0,1
752634,600,,17/4/2024 19:35:09,3,1,1
752635,600,,18/4/2024 08:25:54,3,0,1
752636,600,,18/4/2024 12:10:41,3,1,1
752637,600,,18/4/2024 12:25:54,3,0,1
752638,600,,18/4/2024 20:09:08,3,1,1
752639,600,,19/4/2024 07:31:41,3,0,1
752640,600,,19/4/2024 12:47:13,3,1,1
752641,600,,19/4/2024 12:49:08,3,0,1
752642,600,,19/4/2024 18:19:01,3,1,1
752643,600,,22/4/2024 07:14:12,3,0,1
752644,600,,22/4/2024 12:11:29,3,1,1
752645,600,,22/4/2024 12:12:01,3,1,1
752646,600,,22/4/2024 12:12:47,3,0,1
752647,600,,22/4/2024 20:00:42,3,1,1
752648,600,,23/4/2024 07:21:16,3,0,1
752649,600,,23/4/2024 12:30:10,3,1,1
752650,600,,23/4/2024 12:32:26,3,0,1
752651,600,,23/4/2024 18:30:09,3,1,1
752652,600,,24/4/2024 07:15:38,3,0,1
752653,600,,24/4/2024 12:37:24,3,1,1
752654,600,,24/4/2024 12:38:37,3,0,1
752655,600,,24/4/2024 18:50:41,3,1,1
752656,600,,25/4/2024 07:19:36,3,0,1
752657,600,,25/4/2024 12:20:29,3,1,1
752658,600,,25/4/2024 12:22:32,3,0,1
752659,600,,25/4/2024 19:50:41,3,1,1
752660,600,,26/4/2024 07:34:12,3,0,1
752661,600,,26/4/2024 12:32:31,3,1,1
752662,600,,26/4/2024 12:42:06,3,0,1
752663,600,,26/4/2024 17:32:30,3,1,1
752664,600,,29/4/2024 07:31:32,3,0,1
752665,600,,29/4/2024 20:28:54,3,1,1
752666,600,,30/4/2024 07:50:35,3,0,1
752667,600,,30/4/2024 12:06:30,3,1,1
752668,600,,30/4/2024 12:07:29,3,0,1
752669,600,,30/4/2024 18:12:25,3,1,1
752670,580,,1/4/2024 07:34:18,3,0,1
752671,580,,1/4/2024 13:18:50,3,1,1
752672,580,,1/4/2024 13:19:12,3,0,1
752673,580,,1/4/2024 20:31:20,3,1,1
752674,580,,2/4/2024 08:39:02,3,0,1
752675,580,,2/4/2024 12:24:08,3,1,1
752676,580,,2/4/2024 12:25:57,3,0,1
752677,580,,2/4/2024 20:32:02,3,1,1
752678,580,,3/4/2024 08:05:08,3,0,1
752679,580,,3/4/2024 12:47:36,3,1,1
752680,580,,3/4/2024 13:05:44,3,0,1
752681,580,,3/4/2024 19:51:16,3,1,1
752682,580,,4/4/2024 07:48:40,3,0,1
752683,580,,4/4/2024 12:36:29,3,1,1
752684,580,,4/4/2024 12:44:14,3,0,1
752685,580,,4/4/2024 21:12:58,3,1,1
752686,580,,5/4/2024 08:00:41,3,0,1
752687,580,,5/4/2024 13:24:54,3,1,1
752688,580,,5/4/2024 13:25:10,3,0,1
752689,580,,5/4/2024 20:37:03,3,1,1
752690,580,,8/4/2024 08:03:49,3,0,1
752691,580,,8/4/2024 12:30:39,3,1,1
752692,580,,8/4/2024 12:31:27,3,0,1
752693,580,,8/4/2024 22:47:16,3,1,1
