biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
714327,880,,1/4/2024 12:11:50,1,1,
714328,880,,1/4/2024 12:11:57,1,0,
714329,812,,1/4/2024 12:15:24,1,1,
714330,150,,1/4/2024 12:17:03,1,1,
714331,150,,1/4/2024 12:17:18,1,0,
714332,648,,1/4/2024 12:18:26,1,1,
714333,648,,1/4/2024 12:18:36,1,0,
714334,269,,1/4/2024 12:18:44,1,1,
714335,269,,1/4/2024 12:18:49,1,0,
714336,157,,1/4/2024 12:19:00,1,1,
714337,157,,1/4/2024 12:19:08,1,0,
714338,220,,1/4/2024 12:19:24,1,1,
714339,220,,1/4/2024 12:19:29,1,0,
714340,243,,1/4/2024 12:20:55,1,1,
714341,243,,1/4/2024 12:21:01,1,0,
714342,195,,1/4/2024 12:22:05,1,1,
714343,195,,1/4/2024 12:22:09,1,0,
714344,825,,1/4/2024 12:22:15,1,1,
714345,763,,1/4/2024 12:22:17,1,1,
714346,795,,1/4/2024 12:22:21,1,1,
714347,795,,1/4/2024 12:22:26,1,0,
714348,763,,1/4/2024 12:22:28,1,0,
714349,825,,1/4/2024 12:22:31,1,0,
714350,741,,1/4/2024 12:22:41,1,1,
714351,741,,1/4/2024 12:22:47,1,0,
714352,306,,1/4/2024 12:23:11,1,1,
714353,306,,1/4/2024 12:23:18,1,0,
714354,770,,1/4/2024 12:23:31,1,1,
714355,770,,1/4/2024 12:23:37,1,0,
714356,216,,1/4/2024 12:23:45,1,1,
714357,216,,1/4/2024 12:23:52,1,0,
714358,760,,1/4/2024 12:24:04,1,1,
714359,210,,1/4/2024 12:24:10,1,1,
714360,819,,1/4/2024 12:24:15,1,1,
714361,760,,1/4/2024 12:24:19,1,0,
714362,210,,1/4/2024 12:24:25,1,0,
714363,819,,1/4/2024 12:24:29,1,0,
714364,871,,1/4/2024 12:24:50,1,1,
714365,265,,1/4/2024 12:25:00,1,1,
714366,265,,1/4/2024 12:25:04,1,0,
714367,871,,1/4/2024 12:25:08,1,0,
714368,128,,1/4/2024 12:25:42,1,1,
714369,818,,1/4/2024 12:25:57,1,1,
714370,818,,1/4/2024 12:26:03,1,0,
714371,128,,1/4/2024 12:26:09,1,0,
714372,185,,1/4/2024 12:28:52,1,1,
714373,185,,1/4/2024 12:28:58,1,1,
714374,792,,1/4/2024 12:30:28,1,1,
714375,792,,1/4/2024 12:30:32,1,0,
714376,812,,1/4/2024 12:30:58,1,0,
714377,709,,1/4/2024 12:31:48,1,1,
714378,709,,1/4/2024 12:31:52,1,0,
714379,852,,1/4/2024 12:37:33,1,1,
714380,852,,1/4/2024 12:37:39,1,0,
714381,783,,1/4/2024 12:39:12,1,1,
714382,783,,1/4/2024 12:39:17,1,0,
714383,830,,1/4/2024 12:39:30,1,1,
714384,830,,1/4/2024 12:39:37,1,0,
714385,687,,1/4/2024 12:44:10,1,1,
714386,687,,1/4/2024 12:44:14,1,0,
714387,162,,1/4/2024 12:48:10,1,1,
