biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
729134,230,,4/4/2024 12:47:11,5,1,
729135,230,,4/4/2024 12:47:14,5,0,
729136,878,,4/4/2024 12:46:42,1,1,
729137,878,,4/4/2024 12:46:45,1,0,
729138,851,,4/4/2024 12:47:16,1,1,
729139,851,,4/4/2024 12:47:20,1,1,
729140,255,,4/4/2024 12:01:50,2,1,
729141,255,,4/4/2024 12:02:02,2,0,
729142,155,,4/4/2024 12:02:37,2,1,
729143,155,,4/4/2024 12:02:38,2,1,
729144,134,,4/4/2024 12:02:44,2,1,
729145,173,,4/4/2024 12:02:50,2,1,
729146,164,,4/4/2024 12:02:56,2,1,
729147,200,,4/4/2024 12:03:05,2,1,
729148,155,,4/4/2024 12:03:11,2,0,
729149,173,,4/4/2024 12:03:17,2,0,
729150,134,,4/4/2024 12:03:23,2,0,
729151,164,,4/4/2024 12:03:29,2,0,
729152,200,,4/4/2024 12:03:36,2,0,
729153,887,,4/4/2024 12:03:42,2,1,
729154,887,,4/4/2024 12:03:47,2,0,
729155,110,,4/4/2024 12:04:46,2,1,
729156,764,,4/4/2024 12:04:51,2,1,
729157,222,,4/4/2024 12:04:59,2,1,
729158,222,,4/4/2024 12:05:00,2,1,
729159,110,,4/4/2024 12:05:09,2,0,
729160,764,,4/4/2024 12:05:13,2,0,
729161,222,,4/4/2024 12:05:18,2,0,
729162,254,,4/4/2024 12:06:00,2,1,
729163,204,,4/4/2024 12:06:07,2,1,
729164,254,,4/4/2024 12:06:29,2,0,
729165,204,,4/4/2024 12:06:34,2,0,
729166,116,,4/4/2024 12:06:43,2,1,
729167,116,,4/4/2024 12:06:49,2,0,
729168,289,,4/4/2024 12:06:55,2,1,
729169,289,,4/4/2024 12:06:58,2,0,
729170,111,,4/4/2024 12:08:29,2,1,
729171,111,,4/4/2024 12:08:33,2,0,
729172,213,,4/4/2024 12:08:51,2,1,
729173,213,,4/4/2024 12:08:54,2,0,
729174,202,,4/4/2024 12:10:57,2,1,
729175,202,,4/4/2024 12:11:01,2,0,
729176,186,,4/4/2024 12:11:08,2,1,
729177,186,,4/4/2024 12:11:11,2,0,
729178,258,,4/4/2024 12:19:39,2,1,
729179,258,,4/4/2024 12:19:43,2,0,
729180,348,,4/4/2024 12:31:34,2,1,
729181,171,,4/4/2024 12:31:40,2,1,
729182,348,,4/4/2024 12:31:46,2,0,
729183,171,,4/4/2024 12:31:49,2,0,
729184,248,,4/4/2024 12:31:56,2,1,
729185,248,,4/4/2024 12:32:02,2,0,
729186,724,,4/4/2024 12:48:02,5,1,
729187,724,,4/4/2024 12:48:05,5,0,
729188,707,,4/4/2024 12:50:41,5,1,
729189,707,,4/4/2024 12:50:45,5,0,
729190,183,,4/4/2024 12:51:32,5,1,
729191,183,,4/4/2024 12:51:39,5,0,
729192,274,,4/4/2024 12:52:24,5,1,
729193,274,,4/4/2024 12:52:27,5,0,
729194,274,,4/4/2024 12:52:29,5,0,
729195,480,,4/4/2024 12:58:07,1,1,
729196,480,,4/4/2024 12:58:11,1,0,
729197,783,,4/4/2024 12:55:27,1,1,
729198,783,,4/4/2024 12:55:32,1,0,
729199,795,,4/4/2024 13:00:23,1,1,
729200,795,,4/4/2024 13:00:27,1,0,
729201,112,,4/4/2024 12:58:10,3,1,
729202,112,,4/4/2024 12:58:15,3,0,
729203,773,,4/4/2024 12:54:52,5,1,
729204,773,,4/4/2024 12:54:56,5,0,
729205,857,,4/4/2024 13:06:03,5,1,
729206,836,,4/4/2024 12:00:02,1,1,
729207,405,,4/4/2024 12:00:05,1,1,
729208,892,,4/4/2024 12:00:08,1,1,
729209,836,,4/4/2024 12:00:13,1,0,
729210,892,,4/4/2024 12:00:15,1,0,
729211,405,,4/4/2024 12:00:19,1,0,
729212,545,,4/4/2024 12:00:32,1,1,
729213,545,,4/4/2024 12:00:38,1,0,
729214,421,,4/4/2024 12:01:39,1,1,
729215,421,,4/4/2024 12:02:01,1,0,
729216,615,,4/4/2024 12:03:09,1,1,
729217,435,,4/4/2024 12:03:16,1,1,
729218,435,,4/4/2024 12:03:21,1,0,
729219,615,,4/4/2024 12:04:16,1,0,
729220,449,,4/4/2024 12:04:39,1,1,
729221,512,,4/4/2024 12:04:50,1,1,
729222,512,,4/4/2024 12:04:59,1,0,
729223,449,,4/4/2024 12:05:06,1,0,
729224,424,,4/4/2024 12:05:21,1,1,
729225,424,,4/4/2024 12:05:29,1,0,
729226,517,,4/4/2024 12:06:42,1,1,
729227,403,,4/4/2024 12:06:49,1,1,
729228,403,,4/4/2024 12:06:55,1,0,
729229,517,,4/4/2024 12:07:02,1,0,
729230,414,,4/4/2024 12:11:41,1,1,
729231,414,,4/4/2024 12:12:06,1,0,
729232,231,,4/4/2024 12:16:33,1,1,
729233,391,,4/4/2024 12:16:52,1,1,
729234,392,,4/4/2024 12:17:03,1,1,
729235,391,,4/4/2024 12:17:13,1,0,
729236,392,,4/4/2024 12:17:22,1,0,
729237,231,,4/4/2024 12:17:28,1,0,
729238,491,,4/4/2024 12:17:51,1,1,
729239,628,,4/4/2024 12:17:57,1,1,
729240,491,,4/4/2024 12:18:09,1,0,
729241,393,,4/4/2024 12:18:22,1,1,
729242,408,,4/4/2024 12:18:50,1,1,
729243,628,,4/4/2024 12:19:22,1,0,
729244,408,,4/4/2024 12:19:28,1,0,
729245,393,,4/4/2024 12:19:47,1,0,
729246,717,,4/4/2024 12:24:04,1,1,
729247,717,,4/4/2024 12:25:24,1,0,
729248,703,,4/4/2024 12:33:18,1,1,
729249,703,,4/4/2024 12:33:37,1,0,
729250,390,,4/4/2024 12:39:01,1,1,
729251,390,,4/4/2024 12:39:04,1,0,
729252,662,,4/4/2024 15:00:41,1,1,
729253,696,,4/4/2024 15:02:24,1,1,
729254,566,,4/4/2024 15:03:35,1,1,
729255,458,,4/4/2024 15:05:36,1,1,
729256,456,,4/4/2024 15:05:40,1,1,
729257,888,,4/4/2024 15:10:47,1,1,
729258,503,,4/4/2024 15:18:33,1,1,
729259,504,,4/4/2024 15:20:49,1,1,
729260,476,,4/4/2024 15:26:44,1,1,
729261,667,,4/4/2024 15:24:08,1,1,
729262,537,,4/4/2024 15:28:10,1,1,
729263,756,,4/4/2024 15:34:24,5,1,
729264,397,,4/4/2024 15:42:12,1,1,
729265,446,,4/4/2024 15:44:32,1,1,
729266,716,,4/4/2024 15:44:46,1,1,
729267,483,,4/4/2024 15:48:23,1,1,
729268,100,,4/4/2024 16:00:03,5,1,
729269,563,,4/4/2024 15:59:11,1,1,
729270,454,,4/4/2024 16:01:46,1,1,
729271,280,,4/4/2024 16:01:04,1,0,
729272,260,,4/4/2024 16:01:27,1,1,
729273,878,,4/4/2024 16:01:42,1,1,
729274,310,,4/4/2024 16:01:58,1,1,
729275,706,,4/4/2024 16:05:52,1,1,
729276,687,,4/4/2024 16:05:55,1,1,
729277,242,,4/4/2024 16:00:06,2,1,
729278,111,,4/4/2024 16:00:19,2,1,
729279,258,,4/4/2024 16:01:05,2,1,
729280,186,,4/4/2024 16:03:50,2,1,
729281,259,,4/4/2024 16:03:52,3,1,
729282,268,,4/4/2024 16:01:34,4,1,
729283,357,,4/4/2024 16:02:57,4,1,
729284,304,,4/4/2024 16:05:23,4,1,
729285,297,,4/4/2024 16:05:57,4,1,
729286,558,,4/4/2024 16:05:23,1,1,
729287,703,,4/4/2024 16:05:49,1,1,
729288,128,,4/4/2024 16:10:30,1,1,
729289,844,,4/4/2024 16:11:12,1,1,
729290,150,,4/4/2024 16:11:41,1,1,
729291,248,,4/4/2024 16:06:38,2,1,
729292,887,,4/4/2024 16:08:29,2,1,
729293,123,,4/4/2024 16:10:54,3,1,
729294,147,,4/4/2024 16:12:26,3,1,
729295,179,,4/4/2024 16:12:30,3,1,
729296,866,,4/4/2024 16:12:52,3,1,
729297,805,,4/4/2024 16:12:28,1,1,
729298,720,,4/4/2024 16:12:45,1,1,
729299,772,,4/4/2024 16:08:30,4,1,
729300,137,,4/4/2024 16:09:21,5,1,
729301,421,,4/4/2024 16:09:16,1,1,
729302,548,,4/4/2024 16:09:57,1,1,
729303,553,,4/4/2024 16:10:07,1,1,
729304,543,,4/4/2024 16:10:26,1,1,
729305,536,,4/4/2024 16:11:43,1,1,
729306,698,,4/4/2024 16:12:44,1,1,
729307,803,,4/4/2024 16:17:06,1,1,
729308,549,,4/4/2024 16:13:46,1,1,
729309,448,,4/4/2024 16:14:56,1,1,
729310,448,,4/4/2024 16:15:04,1,1,
729311,445,,4/4/2024 16:15:11,1,1,
729312,893,,4/4/2024 16:15:27,1,1,
729313,174,,4/4/2024 16:16:13,1,1,
729314,202,,4/4/2024 16:19:07,2,1,
729315,744,,4/4/2024 16:16:41,3,1,
729316,131,,4/4/2024 16:16:43,3,1,
729317,661,,4/4/2024 16:17:16,4,1,
729318,794,,4/4/2024 16:18:18,4,1,
729319,799,,4/4/2024 16:18:23,4,1,
729320,149,,4/4/2024 16:18:59,5,1,
729321,854,,4/4/2024 16:21:27,5,1,
729322,639,,4/4/2024 16:18:39,1,1,
729323,836,,4/4/2024 16:18:40,1,1,
729324,508,,4/4/2024 16:18:55,1,1,
729325,508,,4/4/2024 16:18:58,1,1,
729326,413,,4/4/2024 16:22:02,1,1,
729327,892,,4/4/2024 16:23:30,1,1,
729328,500,,4/4/2024 16:23:20,1,1,
729329,393,,4/4/2024 16:25:26,1,1,
729330,650,,4/4/2024 16:23:12,4,1,
729331,804,,4/4/2024 16:32:44,1,1,
729332,403,,4/4/2024 16:28:49,1,1,
729333,542,,4/4/2024 16:32:14,1,1,
729334,554,,4/4/2024 16:32:17,1,1,
729335,544,,4/4/2024 16:32:32,1,1,
729336,518,,4/4/2024 16:36:05,1,1,
729337,494,,4/4/2024 16:36:13,1,1,
729338,493,,4/4/2024 16:36:26,1,1,
729339,550,,4/4/2024 16:33:49,1,1,
729340,402,,4/4/2024 16:34:24,1,1,
729341,556,,4/4/2024 16:38:13,1,1,
729342,861,,4/4/2024 16:42:34,1,1,
729343,512,,4/4/2024 16:41:04,1,1,
729344,449,,4/4/2024 16:41:17,1,1,
729345,444,,4/4/2024 16:41:30,1,1,
729346,787,,4/4/2024 16:40:41,3,1,
729347,362,,4/4/2024 16:32:56,4,1,
729348,771,,4/4/2024 16:46:04,4,1,
729349,106,,4/4/2024 16:46:01,5,1,
729350,806,,4/4/2024 16:46:35,1,1,
729351,485,,4/4/2024 16:47:16,1,1,
729352,392,,4/4/2024 16:46:41,1,1,
729353,852,,4/4/2024 16:45:24,1,1,
729354,134,,4/4/2024 16:21:45,2,1,
729355,255,,4/4/2024 16:41:30,2,1,
729356,173,,4/4/2024 16:47:19,2,1,
729357,213,,4/4/2024 16:47:39,2,1,
729358,858,,4/4/2024 16:46:10,3,1,
729359,829,,4/4/2024 16:47:15,3,1,
729360,856,,4/4/2024 16:48:20,3,1,
729361,480,,4/4/2024 16:50:04,1,1,
729362,230,,4/4/2024 16:49:32,5,1,
729363,690,,4/4/2024 16:50:17,5,1,
729364,845,,4/4/2024 16:59:50,1,1,
729365,289,,4/4/2024 16:55:44,2,1,
729366,471,,4/4/2024 16:55:04,1,1,
729367,560,,4/4/2024 16:56:07,1,1,
729368,539,,4/4/2024 16:56:13,1,1,
729369,545,,4/4/2024 16:57:04,1,1,
729370,416,,4/4/2024 16:57:49,1,1,
729371,863,,4/4/2024 16:53:39,3,1,
729372,239,,4/4/2024 16:58:20,3,1,
729373,193,,4/4/2024 16:58:45,3,1,
729374,807,,4/4/2024 17:00:11,1,1,
729375,501,,4/4/2024 17:02:35,1,1,
729376,499,,4/4/2024 17:00:09,1,1,
729377,435,,4/4/2024 17:00:18,1,1,
729378,133,,4/4/2024 17:00:27,1,1,
729379,352,,4/4/2024 17:01:37,1,1,
729380,210,,4/4/2024 17:06:15,1,1,
729381,204,,4/4/2024 17:00:06,2,1,
729382,254,,4/4/2024 17:01:13,2,1,
729383,764,,4/4/2024 17:02:02,2,1,
729384,270,,4/4/2024 16:54:02,4,1,
729385,865,,4/4/2024 17:00:37,4,1,
729386,826,,4/4/2024 17:05:20,4,1,
729387,424,,4/4/2024 17:05:15,1,1,
729388,562,,4/4/2024 17:08:26,1,1,
729389,793,,4/4/2024 17:09:40,1,1,
729390,765,,4/4/2024 17:08:10,2,1,
729391,376,,4/4/2024 17:09:55,3,1,
729392,212,,4/4/2024 17:14:17,3,1,
729393,348,,4/4/2024 17:16:19,2,1,
729394,486,,4/4/2024 17:20:47,1,1,
729395,628,,4/4/2024 17:22:29,1,1,
729396,231,,4/4/2024 17:22:35,1,1,
729397,870,,4/4/2024 17:25:19,1,1,
729398,222,,4/4/2024 17:24:24,2,1,
729399,729,,4/4/2024 17:29:01,4,1,
729400,882,,4/4/2024 17:23:26,5,1,
729401,837,,4/4/2024 17:25:50,5,1,
729402,375,,4/4/2024 17:25:59,5,1,
729403,266,,4/4/2024 17:26:35,5,1,
729404,855,,4/4/2024 17:28:22,5,1,
729405,572,,4/4/2024 17:32:16,1,1,
729406,391,,4/4/2024 17:31:33,1,1,
729407,408,,4/4/2024 17:33:52,1,1,
729408,783,,4/4/2024 17:30:39,1,1,
729409,834,,4/4/2024 17:34:18,1,1,
729410,154,,4/4/2024 17:29:47,3,1,
729411,117,,4/4/2024 17:35:27,3,1,
729412,886,,4/4/2024 17:32:01,5,1,
729413,121,,4/4/2024 17:32:34,5,1,
729414,677,,4/4/2024 17:36:44,5,1,
729415,677,,4/4/2024 17:36:45,5,1,
729416,762,,4/4/2024 17:36:55,5,1,
729417,469,,4/4/2024 17:39:02,1,1,
729418,717,,4/4/2024 17:39:07,1,1,
729419,372,,4/4/2024 17:37:20,1,1,
729420,130,,4/4/2024 17:37:24,1,1,
729421,709,,4/4/2024 17:37:29,1,1,
729422,895,,4/4/2024 17:40:02,1,1,
729423,220,,4/4/2024 17:40:10,1,1,
729424,235,,4/4/2024 17:42:41,1,1,
729425,853,,4/4/2024 17:42:48,1,1,
729426,750,,4/4/2024 17:43:54,1,1,
729427,649,,4/4/2024 17:42:43,5,1,
729428,615,,4/4/2024 17:43:36,1,1,
729429,517,,4/4/2024 17:43:48,1,1,
729430,511,,4/4/2024 17:44:46,1,1,
729431,158,,4/4/2024 17:45:42,1,1,
729432,818,,4/4/2024 17:45:47,1,1,
729433,216,,4/4/2024 17:45:55,1,1,
729434,273,,4/4/2024 17:46:10,5,1,
729435,828,,4/4/2024 17:46:15,5,1,
729436,724,,4/4/2024 17:46:17,5,1,
729437,728,,4/4/2024 17:53:43,1,1,
729438,880,,4/4/2024 17:54:16,1,1,
729439,800,,4/4/2024 17:56:25,3,1,
729440,786,,4/4/2024 17:56:30,3,1,
729441,816,,4/4/2024 17:56:39,3,1,
729442,850,,4/4/2024 17:56:45,3,1,
729443,198,,4/4/2024 17:57:21,3,1,
729444,732,,4/4/2024 17:57:28,3,1,
729445,234,,4/4/2024 17:57:36,3,1,
729446,635,,4/4/2024 17:40:04,4,1,
729447,796,,4/4/2024 17:46:42,4,1,
