biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
745029,163,,25/4/2024 12:25:12,3,1,
745030,163,,25/4/2024 12:25:19,3,0,
745031,333,,25/4/2024 12:27:48,3,1,
745032,333,,25/4/2024 12:28:01,3,0,
745033,118,,25/4/2024 12:28:13,3,1,
745034,733,,25/4/2024 12:28:17,3,1,
745035,118,,25/4/2024 12:28:34,3,0,
745036,733,,25/4/2024 12:28:39,3,0,
745037,362,,25/4/2024 12:22:48,4,1,
745038,362,,25/4/2024 12:22:51,4,0,
745039,148,,25/4/2024 12:24:47,4,1,
745040,148,,25/4/2024 12:24:55,4,0,
745041,539,,25/4/2024 12:25:02,1,1,
745042,539,,25/4/2024 12:25:06,1,0,
745043,538,,25/4/2024 12:25:13,1,1,
745044,538,,25/4/2024 12:25:16,1,0,
745045,536,,25/4/2024 12:26:08,1,1,
745046,536,,25/4/2024 12:26:12,1,0,
745047,690,,25/4/2024 12:25:57,5,1,
745048,639,,25/4/2024 12:28:50,1,1,
745049,639,,25/4/2024 12:29:25,1,1,
745050,499,,25/4/2024 12:32:03,1,1,
745051,499,,25/4/2024 12:32:09,1,0,
745052,846,,25/4/2024 12:26:59,1,0,
745053,275,,25/4/2024 12:27:03,1,0,
745054,352,,25/4/2024 12:27:07,1,1,
745055,352,,25/4/2024 12:27:12,1,0,
745056,897,,25/4/2024 12:27:15,1,1,
745057,897,,25/4/2024 12:27:20,1,0,
745058,648,,25/4/2024 12:29:33,1,1,
745059,317,,25/4/2024 12:29:44,1,1,
745060,648,,25/4/2024 12:29:51,1,0,
745061,317,,25/4/2024 12:29:59,1,0,
745062,739,,25/4/2024 12:30:46,1,1,
745063,739,,25/4/2024 12:30:47,1,1,
745064,739,,25/4/2024 12:30:51,1,0,
745065,739,,25/4/2024 12:30:52,1,0,
745066,769,,25/4/2024 12:32:10,1,1,
745067,769,,25/4/2024 12:32:13,1,0,
745068,830,,25/4/2024 12:32:18,1,1,
745069,830,,25/4/2024 12:32:21,1,0,
745070,231,,25/4/2024 12:37:09,1,1,
745071,231,,25/4/2024 12:37:12,1,0,
745072,117,,25/4/2024 12:33:37,3,1,
745073,117,,25/4/2024 12:33:42,3,0,
745074,227,,25/4/2024 12:34:27,3,1,
745075,227,,25/4/2024 12:34:31,3,0,
745076,112,,25/4/2024 12:35:10,3,1,
745077,112,,25/4/2024 12:35:15,3,0,
745078,856,,25/4/2024 12:35:53,3,1,
745079,856,,25/4/2024 12:35:57,3,0,
745080,160,,25/4/2024 12:40:37,3,1,
745081,160,,25/4/2024 12:40:41,3,0,
745082,302,,25/4/2024 12:41:07,3,1,
745083,302,,25/4/2024 12:41:14,3,0,
745084,247,,25/4/2024 12:32:08,4,1,
745085,247,,25/4/2024 12:32:11,4,0,
745086,771,,25/4/2024 12:38:49,4,1,
745087,771,,25/4/2024 12:38:51,4,0,
745088,731,,25/4/2024 12:32:54,5,1,
745089,731,,25/4/2024 12:32:58,5,0,
745090,690,,25/4/2024 12:35:10,5,0,
745091,298,,25/4/2024 12:35:14,5,1,
745092,298,,25/4/2024 12:35:16,5,0,
745093,251,,25/4/2024 12:32:49,7,1,
745094,251,,25/4/2024 12:32:52,7,0,
745095,797,,25/4/2024 12:32:59,7,1,
745096,797,,25/4/2024 12:33:05,7,0,
745097,196,,25/4/2024 12:35:28,7,1,
745098,196,,25/4/2024 12:35:32,7,0,
745099,543,,25/4/2024 12:39:35,1,1,
745100,543,,25/4/2024 12:39:39,1,0,
745101,782,,25/4/2024 12:35:31,1,1,
745102,782,,25/4/2024 12:35:34,1,0,
745103,682,,25/4/2024 12:41:10,1,1,
745104,306,,25/4/2024 12:41:21,1,1,
745105,682,,25/4/2024 12:41:29,1,0,
745106,306,,25/4/2024 12:41:37,1,0,
745107,130,,25/4/2024 12:41:51,1,1,
745108,130,,25/4/2024 12:41:54,1,0,
745109,866,,25/4/2024 12:43:53,3,1,
745110,858,,25/4/2024 12:43:59,3,1,
745111,866,,25/4/2024 12:44:03,3,0,
745112,858,,25/4/2024 12:44:07,3,0,
745113,109,,25/4/2024 12:44:41,3,1,
745114,109,,25/4/2024 12:44:47,3,0,
745115,736,,25/4/2024 12:46:17,3,1,
745116,736,,25/4/2024 12:46:25,3,0,
745117,651,,25/4/2024 12:42:49,4,1,
745118,651,,25/4/2024 12:42:54,4,0,
745119,357,,25/4/2024 12:43:53,4,1,
