biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
743029,444,,22/4/2024 17:08:42,1,1,
743030,447,,22/4/2024 17:08:59,1,1,
743031,424,,22/4/2024 17:13:59,1,1,
743032,434,,22/4/2024 17:14:37,1,1,
743033,892,,22/4/2024 17:14:45,1,1,
743034,231,,22/4/2024 17:19:35,1,1,
743035,628,,22/4/2024 17:21:07,1,1,
743036,553,,22/4/2024 17:23:27,1,1,
743037,560,,22/4/2024 17:23:38,1,1,
743038,542,,22/4/2024 17:23:47,1,1,
743039,391,,22/4/2024 17:24:05,1,1,
743040,508,,22/4/2024 17:35:00,1,1,
743041,508,,22/4/2024 17:35:02,1,1,
743042,639,,22/4/2024 17:40:13,1,1,
743043,445,,22/4/2024 17:51:47,1,1,
743044,413,,22/4/2024 17:51:56,1,1,
743045,888,,22/4/2024 17:53:00,1,1,
743046,517,,22/4/2024 17:57:16,1,1,
743047,421,,22/4/2024 17:59:22,1,1,
743048,538,,22/4/2024 18:00:28,1,1,
743049,556,,22/4/2024 18:00:36,1,1,
743050,416,,22/4/2024 18:10:06,1,1,
743051,398,,22/4/2024 18:21:47,1,1,
743052,448,,22/4/2024 18:44:00,1,1,
743053,446,,22/4/2024 18:44:05,1,1,
743054,526,,22/4/2024 18:51:21,1,1,
743055,268,,23/4/2024 05:00:13,1,0,
743056,517,,23/4/2024 05:31:58,1,0,
743057,577,,23/4/2024 06:04:44,1,0,
743058,508,,23/4/2024 06:05:14,1,0,
743059,416,,23/4/2024 06:08:43,1,0,
743060,499,,23/4/2024 06:11:50,1,0,
743061,662,,23/4/2024 06:12:08,1,0,
743062,421,,23/4/2024 06:12:20,1,0,
743063,410,,23/4/2024 06:21:51,1,0,
743064,512,,23/4/2024 06:23:12,1,0,
743065,550,,23/4/2024 06:24:26,1,0,
743066,403,,23/4/2024 06:49:47,1,0,
743067,432,,23/4/2024 06:51:10,1,0,
743068,537,,23/4/2024 06:52:33,1,0,
743069,424,,23/4/2024 06:53:28,1,0,
743070,559,,23/4/2024 06:54:33,1,0,
743071,561,,23/4/2024 06:59:57,1,0,
743072,444,,23/4/2024 07:00:28,1,0,
743073,449,,23/4/2024 07:00:54,1,0,
743074,566,,23/4/2024 07:06:38,1,0,
743075,558,,23/4/2024 07:07:50,1,0,
743076,696,,23/4/2024 07:08:02,1,0,
743077,536,,23/4/2024 07:24:56,1,0,
743078,391,,23/4/2024 07:31:15,1,0,
743079,392,,23/4/2024 07:32:16,1,0,
743080,716,,23/4/2024 07:33:02,1,0,
743081,390,,23/4/2024 07:33:33,1,0,
743082,445,,23/4/2024 07:44:04,1,0,
743083,456,,23/4/2024 07:44:11,1,0,
743084,888,,23/4/2024 07:44:17,1,0,
743085,549,,23/4/2024 07:48:59,1,0,
743086,892,,23/4/2024 07:55:34,1,0,
743087,553,,23/4/2024 07:57:21,1,0,
743088,402,,23/4/2024 08:01:02,1,0,
743089,554,,23/4/2024 08:06:19,1,0,
743090,639,,23/4/2024 08:07:09,1,0,
743091,448,,23/4/2024 08:11:33,1,0,
743092,563,,23/4/2024 08:14:10,1,0,
743093,628,,23/4/2024 08:20:00,1,0,
743094,231,,23/4/2024 08:20:11,1,0,
743095,548,,23/4/2024 08:23:55,1,0,
743096,544,,23/4/2024 08:24:42,1,0,
743097,408,,23/4/2024 08:26:16,1,0,
743098,538,,23/4/2024 08:33:34,1,0,
743099,556,,23/4/2024 08:44:58,1,0,
743100,446,,23/4/2024 08:48:12,1,0,
743101,435,,23/4/2024 12:01:59,1,1,
