biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
731134,449,,8/4/2024 12:10:37,1,0,
731135,572,,8/4/2024 12:10:49,1,0,
731136,512,,8/4/2024 12:11:13,1,0,
731137,421,,8/4/2024 12:11:36,1,1,
731138,421,,8/4/2024 12:11:51,1,0,
731139,174,,8/4/2024 12:20:52,1,1,
731140,182,,8/4/2024 12:21:46,1,1,
731141,182,,8/4/2024 12:21:50,1,0,
731142,174,,8/4/2024 12:22:17,1,0,
731143,786,,8/4/2024 12:15:58,3,1,
731144,786,,8/4/2024 12:16:02,3,0,
731145,218,,8/4/2024 12:19:50,3,1,
731146,218,,8/4/2024 12:19:55,3,0,
731147,787,,8/4/2024 12:20:03,3,1,
731148,787,,8/4/2024 12:20:10,3,0,
731149,333,,8/4/2024 12:22:31,3,1,
731150,333,,8/4/2024 12:22:49,3,0,
731151,229,,8/4/2024 12:23:08,3,0,
731152,238,,8/4/2024 12:23:12,3,0,
731153,224,,8/4/2024 12:15:43,4,1,
731154,224,,8/4/2024 12:15:46,4,0,
731155,268,,8/4/2024 12:16:23,4,1,
731156,268,,8/4/2024 12:16:30,4,0,
731157,103,,8/4/2024 12:16:39,4,1,
731158,859,,8/4/2024 12:16:52,4,1,
731159,859,,8/4/2024 12:16:58,4,0,
731160,693,,8/4/2024 12:17:46,4,1,
731161,693,,8/4/2024 12:17:49,4,0,
731162,132,,8/4/2024 12:18:00,4,0,
731163,794,,8/4/2024 12:18:33,4,1,
731164,794,,8/4/2024 12:18:36,4,0,
731165,823,,8/4/2024 12:23:24,4,1,
731166,837,,8/4/2024 12:09:39,5,1,
731167,837,,8/4/2024 12:09:41,5,0,
731168,838,,8/4/2024 12:09:46,5,1,
731169,838,,8/4/2024 12:09:49,5,0,
731170,882,,8/4/2024 12:09:56,5,1,
731171,882,,8/4/2024 12:10:00,5,0,
731172,677,,8/4/2024 12:11:29,5,1,
731173,677,,8/4/2024 12:11:31,5,0,
731174,868,,8/4/2024 12:12:07,5,1,
731175,868,,8/4/2024 12:12:17,5,0,
731176,649,,8/4/2024 12:13:13,5,1,
731177,353,,8/4/2024 12:15:00,5,1,
731178,298,,8/4/2024 12:15:03,5,1,
731179,353,,8/4/2024 12:15:09,5,0,
731180,298,,8/4/2024 12:15:16,5,0,
731181,679,,8/4/2024 12:20:14,5,1,
731182,679,,8/4/2024 12:20:17,5,0,
731183,825,,8/4/2024 12:25:18,1,1,
731184,825,,8/4/2024 12:25:26,1,0,
731185,197,,8/4/2024 12:28:42,1,0,
731186,197,,8/4/2024 12:28:48,1,1,
731187,789,,8/4/2024 12:29:23,1,1,
731188,789,,8/4/2024 12:29:26,1,0,
731189,789,,8/4/2024 12:29:27,1,0,
731190,258,,8/4/2024 12:06:21,2,1,
731191,258,,8/4/2024 12:06:25,2,0,
731192,140,,8/4/2024 12:08:35,2,1,
731193,140,,8/4/2024 12:08:40,2,0,
731194,725,,8/4/2024 12:09:39,2,1,
731195,725,,8/4/2024 12:09:43,2,0,
731196,155,,8/4/2024 12:10:44,2,1,
731197,213,,8/4/2024 12:10:58,2,1,
731198,155,,8/4/2024 12:11:04,2,0,
731199,213,,8/4/2024 12:11:10,2,0,
731200,248,,8/4/2024 12:11:15,2,1,
731201,248,,8/4/2024 12:11:21,2,0,
731202,887,,8/4/2024 12:13:04,2,1,
731203,887,,8/4/2024 12:13:08,2,0,
731204,294,,8/4/2024 12:13:16,2,1,
731205,255,,8/4/2024 12:13:22,2,1,
731206,255,,8/4/2024 12:13:31,2,0,
731207,294,,8/4/2024 12:13:40,2,0,
731208,289,,8/4/2024 12:14:27,2,1,
731209,289,,8/4/2024 12:14:32,2,0,
731210,204,,8/4/2024 12:21:26,2,1,
731211,204,,8/4/2024 12:21:32,2,0,
731212,254,,8/4/2024 12:27:16,2,1,
731213,254,,8/4/2024 12:27:20,2,0,
731214,348,,8/4/2024 12:27:58,2,1,
731215,348,,8/4/2024 12:28:04,2,0,
731216,229,,8/4/2024 12:23:17,3,1,
731217,238,,8/4/2024 12:23:19,3,1,
731218,179,,8/4/2024 12:23:56,3,1,
731219,179,,8/4/2024 12:24:01,3,0,
731220,112,,8/4/2024 12:29:50,3,1,
731221,823,,8/4/2024 12:23:27,4,0,
731222,103,,8/4/2024 12:24:58,4,0,
731223,729,,8/4/2024 12:25:21,4,1,
731224,729,,8/4/2024 12:25:25,4,0,
731225,865,,8/4/2024 12:25:40,4,1,
731226,865,,8/4/2024 12:25:46,4,0,
731227,100,,8/4/2024 12:24:34,5,1,
731228,100,,8/4/2024 12:24:38,5,0,
731229,690,,8/4/2024 12:27:14,5,1,
731230,690,,8/4/2024 12:27:16,5,0,
731231,682,,8/4/2024 12:31:37,1,1,
731232,784,,8/4/2024 12:31:43,1,1,
731233,185,,8/4/2024 12:32:06,1,1,
731234,895,,8/4/2024 12:32:08,1,1,
731235,682,,8/4/2024 12:32:18,1,0,
731236,895,,8/4/2024 12:32:24,1,0,
731237,112,,8/4/2024 12:30:23,3,0,
731238,801,,8/4/2024 12:34:50,3,1,
731239,801,,8/4/2024 12:34:55,3,0,
731240,831,,8/4/2024 12:34:44,4,1,
731241,831,,8/4/2024 12:34:53,4,0,
731242,817,,8/4/2024 12:35:24,4,1,
731243,817,,8/4/2024 12:35:27,4,0,
731244,707,,8/4/2024 12:35:36,5,1,
731245,707,,8/4/2024 12:35:39,5,0,
731246,855,,8/4/2024 12:36:02,5,1,
731247,855,,8/4/2024 12:36:05,5,0,
731248,411,,8/4/2024 12:34:55,1,1,
731249,411,,8/4/2024 12:35:23,1,0,
731250,703,,8/4/2024 12:38:34,1,1,
731251,703,,8/4/2024 12:38:45,1,0,
731252,210,,8/4/2024 12:37:16,1,1,
731253,210,,8/4/2024 12:37:43,1,0,
731254,750,,8/4/2024 12:41:38,1,1,
731255,750,,8/4/2024 12:41:41,1,0,
