biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
715328,817,,2/4/2024 17:57:15,4,1,
715329,573,,2/4/2024 17:52:30,5,1,
715330,868,,2/4/2024 17:53:40,5,1,
715331,755,,2/4/2024 17:55:56,5,1,
715332,886,,2/4/2024 17:57:49,5,1,
715333,486,,2/4/2024 18:01:18,1,1,
715334,784,,2/4/2024 17:58:46,1,1,
715335,846,,2/4/2024 17:59:00,1,1,
715336,174,,2/4/2024 18:00:27,1,1,
715337,244,,2/4/2024 18:00:35,1,1,
715338,870,,2/4/2024 18:00:53,1,1,
715339,162,,2/4/2024 18:02:59,1,1,
715340,487,,2/4/2024 18:04:51,1,1,
715341,155,,2/4/2024 17:29:34,2,1,
715342,222,,2/4/2024 17:32:14,2,1,
715343,246,,2/4/2024 17:55:10,2,1,
715344,744,,2/4/2024 18:02:30,3,1,
715345,768,,2/4/2024 18:02:39,3,1,
715346,238,,2/4/2024 18:02:52,3,1,
715347,684,,2/4/2024 18:00:03,4,1,
715348,101,,2/4/2024 18:00:49,4,1,
715349,151,,2/4/2024 18:00:54,4,1,
715350,342,,2/4/2024 18:00:58,4,1,
715351,297,,2/4/2024 18:02:44,4,1,
715352,799,,2/4/2024 18:02:48,4,1,
715353,356,,2/4/2024 18:02:53,4,1,
715354,322,,2/4/2024 18:05:41,4,1,
715355,201,,2/4/2024 18:01:47,5,1,
715356,649,,2/4/2024 18:03:18,5,1,
715357,156,,2/4/2024 18:05:26,5,1,
715358,706,,2/4/2024 18:04:57,1,1,
715359,789,,2/4/2024 18:05:03,1,1,
715360,130,,2/4/2024 18:05:08,1,1,
715361,275,,2/4/2024 18:05:22,1,1,
715362,249,,2/4/2024 18:07:55,1,1,
715363,269,,2/4/2024 18:08:15,1,1,
715364,840,,2/4/2024 18:08:52,1,1,
715365,840,,2/4/2024 18:08:53,1,1,
715366,812,,2/4/2024 18:09:00,1,1,
715367,607,,2/4/2024 18:10:12,1,1,
715368,760,,2/4/2024 18:10:14,1,1,
715369,770,,2/4/2024 18:10:18,1,1,
715370,218,,2/4/2024 18:09:34,3,1,
715371,859,,2/4/2024 18:06:08,4,1,
715372,767,,2/4/2024 18:06:13,5,1,
715373,679,,2/4/2024 18:11:23,5,1,
715374,191,,2/4/2024 18:11:30,5,1,
715375,740,,2/4/2024 18:17:24,3,1,
715376,797,,2/4/2024 18:19:16,3,1,
715377,330,,2/4/2024 18:16:12,5,1,
715378,108,,2/4/2024 18:18:09,5,1,
715379,166,,2/4/2024 18:19:33,5,1,
715380,183,,2/4/2024 18:19:42,5,1,
715381,514,,2/4/2024 18:22:52,1,1,
715382,372,,2/4/2024 18:19:19,1,1,
715383,145,,2/4/2024 18:22:37,5,1,
715384,194,,2/4/2024 18:24:21,5,1,
715385,312,,2/4/2024 18:24:55,5,1,
715386,251,,2/4/2024 18:26:01,5,1,
715387,116,,2/4/2024 18:34:40,2,1,
715388,850,,2/4/2024 18:22:49,3,1,
715389,203,,2/4/2024 18:23:00,3,1,
715390,234,,2/4/2024 18:24:46,3,1,
715391,661,,2/4/2024 18:13:57,4,1,
715392,821,,2/4/2024 18:14:29,4,1,
715393,304,,2/4/2024 18:24:56,4,1,
715394,139,,2/4/2024 18:30:17,4,1,
715395,865,,2/4/2024 18:30:23,4,1,
715396,708,,2/4/2024 18:37:40,4,1,
715397,651,,2/4/2024 18:37:43,4,1,
715398,773,,2/4/2024 18:34:34,5,1,
715399,792,,2/4/2024 18:35:54,1,1,
715400,871,,2/4/2024 18:37:00,1,1,
715401,834,,2/4/2024 18:37:51,1,1,
715402,165,,2/4/2024 18:44:40,3,1,
715403,827,,2/4/2024 18:46:20,4,1,
715404,188,,2/4/2024 18:44:13,5,1,
715405,403,,2/4/2024 12:00:02,1,1,
715406,545,,2/4/2024 12:00:08,1,1,
715407,403,,2/4/2024 12:00:11,1,0,
715408,545,,2/4/2024 12:00:13,1,0,
715409,471,,2/4/2024 12:00:30,1,1,
715410,471,,2/4/2024 12:00:34,1,0,
715411,424,,2/4/2024 12:06:43,1,1,
715412,424,,2/4/2024 12:06:51,1,0,
715413,499,,2/4/2024 12:07:05,1,1,
715414,499,,2/4/2024 12:07:12,1,0,
715415,615,,2/4/2024 12:07:34,1,1,
715416,615,,2/4/2024 12:08:02,1,0,
715417,517,,2/4/2024 12:10:30,1,1,
715418,517,,2/4/2024 12:10:44,1,0,
715419,414,,2/4/2024 12:13:03,1,1,
715420,390,,2/4/2024 12:14:18,1,1,
715421,390,,2/4/2024 12:14:20,1,0,
715422,231,,2/4/2024 12:18:03,1,1,
715423,231,,2/4/2024 12:18:07,1,0,
715424,512,,2/4/2024 12:19:09,1,1,
715425,512,,2/4/2024 12:19:16,1,0,
715426,2076,,2/4/2024 12:20:05,1,1,
715427,405,,2/4/2024 12:20:23,1,1,
715428,405,,2/4/2024 12:20:27,1,0,
715429,447,,2/4/2024 12:20:36,1,0,
715430,628,,2/4/2024 12:21:26,1,1,
715431,628,,2/4/2024 12:21:37,1,0,
715432,393,,2/4/2024 12:22:15,1,1,
715433,391,,2/4/2024 12:22:29,1,1,
715434,392,,2/4/2024 12:22:40,1,1,
715435,392,,2/4/2024 12:23:02,1,0,
715436,391,,2/4/2024 12:23:10,1,0,
715437,393,,2/4/2024 12:23:18,1,0,
715438,491,,2/4/2024 12:26:29,1,1,
715439,414,,2/4/2024 12:27:04,1,0,
715440,491,,2/4/2024 12:27:10,1,0,
715441,404,,2/4/2024 12:27:56,1,1,
715442,630,,2/4/2024 12:28:01,1,1,
715443,630,,2/4/2024 12:28:13,1,0,
715444,404,,2/4/2024 12:28:20,1,0,
715445,429,,2/4/2024 12:56:28,1,1,
