biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
744029,844,,24/4/2024 16:02:49,1,1,
744030,150,,24/4/2024 16:03:17,1,1,
744031,852,,24/4/2024 16:05:04,1,1,
744032,128,,24/4/2024 16:06:47,1,1,
744033,833,,24/4/2024 16:08:37,1,1,
744034,845,,24/4/2024 16:08:54,1,1,
744035,819,,24/4/2024 16:09:42,1,1,
744036,258,,24/4/2024 16:02:57,2,1,
744037,204,,24/4/2024 16:04:29,2,1,
744038,111,,24/4/2024 16:06:26,2,1,
744039,248,,24/4/2024 16:09:16,2,1,
744040,670,,24/4/2024 16:04:35,4,1,
744041,661,,24/4/2024 16:04:49,4,1,
744042,899,,24/4/2024 16:07:42,4,1,
744043,137,,24/4/2024 16:09:18,5,1,
744044,149,,24/4/2024 16:11:22,5,1,
744045,476,,24/4/2024 16:12:51,1,1,
744046,199,,24/4/2024 16:12:12,1,1,
744047,823,,24/4/2024 16:14:45,4,1,
744048,259,,24/4/2024 16:05:35,3,0,
744049,259,,24/4/2024 16:05:41,3,1,
744050,744,,24/4/2024 16:07:42,3,1,
744051,123,,24/4/2024 16:09:53,3,1,
744052,866,,24/4/2024 16:12:22,3,1,
744053,179,,24/4/2024 16:14:33,3,1,
744054,115,,24/4/2024 16:18:49,3,1,
744055,781,,24/4/2024 16:19:38,3,1,
744056,131,,24/4/2024 16:22:30,3,1,
744057,854,,24/4/2024 16:22:04,5,1,
744058,516,,24/4/2024 16:26:30,1,1,
744059,604,,24/4/2024 16:27:30,1,1,
744060,503,,24/4/2024 16:28:07,1,1,
744061,500,,24/4/2024 16:28:42,1,1,
744062,501,,24/4/2024 16:29:20,1,1,
744063,514,,24/4/2024 16:29:26,1,1,
744064,493,,24/4/2024 16:30:05,1,1,
744065,739,,24/4/2024 16:26:09,1,1,
744066,521,,24/4/2024 16:30:12,1,1,
744067,302,,24/4/2024 16:29:34,3,1,
744068,768,,24/4/2024 16:30:21,3,1,
744069,306,,24/4/2024 16:34:31,1,1,
744070,261,,24/4/2024 16:38:55,1,1,
744071,221,,24/4/2024 16:36:57,3,1,
744072,829,,24/4/2024 16:41:09,3,1,
744073,801,,24/4/2024 16:41:16,3,1,
744074,174,,24/4/2024 16:41:58,1,1,
744075,853,,24/4/2024 16:43:13,1,1,
744076,898,,24/4/2024 16:43:21,1,1,
744077,808,,24/4/2024 16:47:10,1,1,
744078,355,,24/4/2024 16:44:52,4,1,
744079,855,,24/4/2024 16:42:45,5,1,
744080,106,,24/4/2024 16:44:12,5,1,
744081,230,,24/4/2024 16:45:27,5,1,
744082,834,,24/4/2024 16:54:29,1,1,
744083,787,,24/4/2024 16:56:21,3,1,
744084,814,,24/4/2024 16:59:16,3,1,
744085,856,,24/4/2024 16:59:18,3,1,
744086,376,,24/4/2024 17:01:50,3,1,
744087,490,,24/4/2024 17:00:32,1,1,
744088,805,,24/4/2024 17:01:18,1,1,
744089,690,,24/4/2024 16:52:58,5,1,
744090,782,,24/4/2024 16:57:48,1,1,
744091,846,,24/4/2024 17:08:16,1,1,
744092,799,,24/4/2024 17:05:26,4,1,
744093,724,,24/4/2024 17:07:24,5,1,
744094,828,,24/4/2024 17:07:27,5,1,
744095,720,,24/4/2024 17:10:03,1,1,
744096,213,,24/4/2024 16:11:42,2,1,
744097,173,,24/4/2024 16:13:51,2,1,
744098,134,,24/4/2024 16:13:57,2,1,
744099,289,,24/4/2024 16:16:45,2,1,
744100,764,,24/4/2024 16:19:54,2,1,
744101,255,,24/4/2024 16:32:46,2,1,
744102,202,,24/4/2024 17:12:51,2,1,
744103,139,,24/4/2024 17:15:28,4,1,
744104,882,,24/4/2024 17:11:52,5,1,
744105,273,,24/4/2024 17:12:10,5,1,
744106,375,,24/4/2024 17:13:18,5,1,
744107,818,,24/4/2024 17:19:27,1,1,
744108,158,,24/4/2024 17:19:32,1,1,
744109,317,,24/4/2024 17:20:27,1,1,
744110,212,,24/4/2024 17:17:52,3,1,
744111,800,,24/4/2024 17:17:57,3,1,
744112,786,,24/4/2024 17:18:05,3,1,
744113,813,,24/4/2024 17:18:09,3,1,
744114,816,,24/4/2024 17:18:13,3,1,
744115,147,,24/4/2024 17:21:47,3,1,
744116,806,,24/4/2024 17:23:09,1,1,
744117,121,,24/4/2024 17:22:18,5,1,
744118,480,,24/4/2024 17:25:52,1,1,
744119,485,,24/4/2024 17:26:01,1,1,
744120,807,,24/4/2024 17:26:24,1,1,
744121,154,,24/4/2024 17:29:16,3,1,
744122,198,,24/4/2024 17:30:44,3,1,
744123,227,,24/4/2024 17:31:42,3,1,
744124,353,,24/4/2024 17:33:47,5,1,
744125,803,,24/4/2024 17:36:26,1,1,
744126,157,,24/4/2024 17:31:49,1,1,
744127,737,,24/4/2024 17:30:35,4,1,
744128,796,,24/4/2024 17:36:38,4,1,
744129,486,,24/4/2024 17:37:18,1,1,
744130,804,,24/4/2024 17:40:37,1,1,
744131,590,,24/4/2024 17:41:52,1,1,
744132,504,,24/4/2024 17:45:41,1,1,
744133,784,,24/4/2024 17:45:34,1,1,
744134,797,,24/4/2024 17:46:55,3,1,
744135,224,,24/4/2024 17:42:51,4,1,
744136,572,,24/4/2024 17:46:20,1,1,
744137,494,,24/4/2024 17:46:41,1,1,
744138,511,,24/4/2024 17:49:24,1,1,
744139,210,,24/4/2024 17:49:34,1,1,
744140,861,,24/4/2024 17:49:51,1,1,
744141,895,,24/4/2024 17:50:24,1,1,
744142,880,,24/4/2024 17:53:00,1,1,
744143,750,,24/4/2024 17:53:06,1,1,
744144,822,,24/4/2024 17:52:47,3,1,
744145,573,,24/4/2024 17:55:28,5,1,
744146,706,,24/4/2024 17:53:59,1,1,
744147,185,,24/4/2024 17:57:43,1,1,
744148,850,,24/4/2024 17:57:13,3,1,
744149,117,,24/4/2024 17:58:40,3,1,
744150,233,,24/4/2024 18:00:06,3,1,
744151,167,,24/4/2024 18:00:11,4,1,
744152,817,,24/4/2024 18:00:18,4,1,
744153,684,,24/4/2024 18:01:08,4,1,
744154,356,,24/4/2024 18:01:55,4,1,
744155,857,,24/4/2024 18:00:43,5,1,
744156,318,,24/4/2024 18:01:13,5,1,
744157,209,,24/4/2024 18:01:20,1,1,
744158,897,,24/4/2024 18:01:24,1,1,
744159,348,,24/4/2024 17:25:50,2,1,
744160,155,,24/4/2024 17:30:00,2,1,
744161,110,,24/4/2024 17:33:04,2,1,
744162,222,,24/4/2024 17:33:11,2,1,
744163,254,,24/4/2024 17:44:51,2,1,
744164,186,,24/4/2024 18:00:53,2,0,
744165,201,,24/4/2024 18:01:49,2,1,
744166,858,,24/4/2024 18:05:27,3,1,
744167,842,,24/4/2024 18:05:52,3,1,
744168,333,,24/4/2024 18:06:19,3,1,
744169,297,,24/4/2024 18:03:23,4,1,
744170,767,,24/4/2024 18:06:20,5,1,
744171,733,,24/4/2024 18:13:06,3,1,
744172,731,,24/4/2024 18:11:24,5,1,
744173,108,,24/4/2024 18:11:32,5,1,
744174,183,,24/4/2024 18:12:30,5,1,
744175,145,,24/4/2024 18:12:36,5,1,
744176,728,,24/4/2024 18:16:33,1,1,
744177,369,,24/4/2024 18:18:25,1,1,
744178,267,,24/4/2024 18:18:42,1,1,
744179,220,,24/4/2024 18:20:39,1,1,
744180,812,,24/4/2024 18:23:31,1,1,
744181,112,,24/4/2024 18:18:06,3,1,
744182,239,,24/4/2024 18:21:14,3,1,
744183,193,,24/4/2024 18:21:32,3,1,
744184,169,,24/4/2024 18:23:50,3,1,
744185,118,,24/4/2024 18:24:09,3,1,
744186,651,,24/4/2024 18:17:10,4,1,
