biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
742029,189,,22/4/2024 12:21:03,5,1,
742030,189,,22/4/2024 12:21:10,5,0,
742031,113,,22/4/2024 12:23:57,5,1,
742032,113,,22/4/2024 12:24:01,5,1,
742033,690,,22/4/2024 12:24:08,5,0,
742034,857,,22/4/2024 12:24:33,5,1,
742035,857,,22/4/2024 12:24:40,5,0,
742036,882,,22/4/2024 12:28:50,5,1,
742037,882,,22/4/2024 12:28:55,5,0,
742038,156,,22/4/2024 12:32:06,5,1,
742039,156,,22/4/2024 12:32:09,5,0,
742040,106,,22/4/2024 12:34:31,5,1,
742041,106,,22/4/2024 12:34:37,5,0,
742042,843,,22/4/2024 12:37:06,5,1,
742043,837,,22/4/2024 12:37:13,5,1,
742044,843,,22/4/2024 12:37:17,5,0,
742045,837,,22/4/2024 12:37:21,5,0,
742046,353,,22/4/2024 12:43:44,5,1,
742047,313,,22/4/2024 12:43:47,5,1,
742048,353,,22/4/2024 12:43:50,5,0,
742049,313,,22/4/2024 12:43:53,5,0,
742050,161,,22/4/2024 12:43:56,5,1,
742051,161,,22/4/2024 12:44:02,5,0,
742052,877,,22/4/2024 12:44:19,5,1,
742053,877,,22/4/2024 12:44:28,5,0,
742054,649,,22/4/2024 12:45:39,5,1,
742055,330,,22/4/2024 12:45:46,5,1,
742056,330,,22/4/2024 12:45:54,5,0,
742057,767,,22/4/2024 12:46:02,5,1,
742058,649,,22/4/2024 12:46:09,5,0,
742059,767,,22/4/2024 12:46:16,5,0,
742060,263,,22/4/2024 12:47:49,5,1,
742061,102,,22/4/2024 12:47:56,5,1,
742062,263,,22/4/2024 12:48:00,5,0,
742063,102,,22/4/2024 12:48:03,5,0,
742064,773,,22/4/2024 13:00:40,5,1,
742065,773,,22/4/2024 13:00:44,5,0,
742066,230,,22/4/2024 16:07:52,5,1,
742067,137,,22/4/2024 16:08:36,5,1,
742068,857,,22/4/2024 16:09:45,5,1,
742069,251,,22/4/2024 16:18:19,5,1,
742070,854,,22/4/2024 16:20:36,5,1,
742071,145,,22/4/2024 16:27:00,5,1,
742072,108,,22/4/2024 16:28:06,5,1,
742073,724,,22/4/2024 16:32:25,5,1,
742074,724,,22/4/2024 16:32:27,5,1,
742075,828,,22/4/2024 16:32:29,5,1,
742076,353,,22/4/2024 16:41:21,5,1,
742077,731,,22/4/2024 16:43:36,5,1,
