biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
730134,195,,5/4/2024 12:13:58,1,0,
730135,162,,5/4/2024 12:14:04,1,1,
730136,818,,5/4/2024 12:14:21,1,1,
730137,818,,5/4/2024 12:14:25,1,0,
730138,770,,5/4/2024 12:14:31,1,1,
730139,770,,5/4/2024 12:14:34,1,0,
730140,648,,5/4/2024 12:14:45,1,1,
730141,648,,5/4/2024 12:14:54,1,0,
730142,706,,5/4/2024 12:16:42,1,1,
730143,706,,5/4/2024 12:16:45,1,0,
730144,173,,5/4/2024 12:10:55,2,1,
730145,134,,5/4/2024 12:11:01,2,1,
730146,173,,5/4/2024 12:11:12,2,0,
730147,134,,5/4/2024 12:11:19,2,0,
730148,109,,5/4/2024 12:13:17,3,1,
730149,109,,5/4/2024 12:13:22,3,0,
730150,218,,5/4/2024 12:13:37,3,1,
730151,218,,5/4/2024 12:13:41,3,0,
730152,822,,5/4/2024 12:13:59,3,1,
730153,822,,5/4/2024 12:14:03,3,0,
730154,169,,5/4/2024 12:14:10,3,1,
730155,350,,5/4/2024 12:14:40,3,1,
730156,350,,5/4/2024 12:14:44,3,0,
730157,786,,5/4/2024 12:14:53,3,0,
730158,786,,5/4/2024 12:15:03,3,1,
730159,850,,5/4/2024 12:15:06,3,1,
730160,850,,5/4/2024 12:15:08,3,1,
730161,786,,5/4/2024 12:15:13,3,0,
730162,850,,5/4/2024 12:15:18,3,0,
730163,165,,5/4/2024 12:15:22,3,1,
730164,165,,5/4/2024 12:15:27,3,0,
730165,163,,5/4/2024 12:15:34,3,1,
730166,152,,5/4/2024 12:15:46,3,1,
730167,163,,5/4/2024 12:15:54,3,0,
730168,152,,5/4/2024 12:16:08,3,0,
730169,740,,5/4/2024 12:16:59,3,1,
730170,740,,5/4/2024 12:17:04,3,0,
730171,268,,5/4/2024 12:11:52,4,1,
730172,794,,5/4/2024 12:12:03,4,1,
730173,794,,5/4/2024 12:12:08,4,0,
730174,268,,5/4/2024 12:12:12,4,0,
730175,766,,5/4/2024 12:13:45,4,1,
730176,766,,5/4/2024 12:13:48,4,0,
730177,297,,5/4/2024 12:14:34,4,1,
730178,297,,5/4/2024 12:14:37,4,0,
730179,151,,5/4/2024 12:17:10,4,1,
730180,151,,5/4/2024 12:17:13,4,0,
730181,201,,5/4/2024 12:12:58,5,1,
730182,201,,5/4/2024 12:13:02,5,0,
730183,843,,5/4/2024 12:14:09,5,1,
730184,843,,5/4/2024 12:14:15,5,0,
730185,847,,5/4/2024 12:15:07,5,1,
730186,847,,5/4/2024 12:15:10,5,0,
730187,885,,5/4/2024 12:16:43,5,1,
730188,885,,5/4/2024 12:16:58,5,0,
730189,762,,5/4/2024 12:17:22,5,1,
730190,762,,5/4/2024 12:17:25,5,0,
730191,485,,5/4/2024 12:16:50,1,1,
730192,485,,5/4/2024 12:17:15,1,0,
730193,411,,5/4/2024 12:12:41,1,1,
730194,411,,5/4/2024 12:12:56,1,0,
730195,392,,5/4/2024 12:13:41,1,1,
730196,391,,5/4/2024 12:13:49,1,1,
730197,392,,5/4/2024 12:14:22,1,0,
730198,391,,5/4/2024 12:14:28,1,0,
730199,628,,5/4/2024 12:14:52,1,1,
730200,231,,5/4/2024 12:14:56,1,1,
730201,628,,5/4/2024 12:15:10,1,0,
730202,231,,5/4/2024 12:15:14,1,0,
730203,493,,5/4/2024 12:20:25,1,1,
730204,493,,5/4/2024 12:20:45,1,0,
730205,306,,5/4/2024 12:17:27,1,1,
730206,306,,5/4/2024 12:17:33,1,0,
730207,834,,5/4/2024 12:20:03,1,1,
730208,834,,5/4/2024 12:20:08,1,0,
730209,880,,5/4/2024 12:21:59,1,1,
730210,880,,5/4/2024 12:22:05,1,0,
730211,565,,5/4/2024 12:22:10,1,1,
730212,565,,5/4/2024 12:22:15,1,0,
730213,862,,5/4/2024 12:22:23,1,1,
730214,862,,5/4/2024 12:22:27,1,0,
730215,863,,5/4/2024 12:19:35,3,1,
730216,866,,5/4/2024 12:19:39,3,1,
730217,858,,5/4/2024 12:19:50,3,1,
730218,866,,5/4/2024 12:19:54,3,0,
730219,863,,5/4/2024 12:20:21,3,0,
730220,858,,5/4/2024 12:20:26,3,0,
730221,816,,5/4/2024 12:21:32,3,1,
730222,816,,5/4/2024 12:21:37,3,0,
730223,800,,5/4/2024 12:22:32,3,1,
730224,800,,5/4/2024 12:22:37,3,0,
730225,169,,5/4/2024 12:25:19,3,0,
730226,813,,5/4/2024 12:27:24,3,1,
730227,813,,5/4/2024 12:27:29,3,0,
730228,342,,5/4/2024 12:20:30,4,1,
730229,342,,5/4/2024 12:20:34,4,0,
730230,737,,5/4/2024 12:21:21,4,1,
730231,737,,5/4/2024 12:21:32,4,0,
730232,746,,5/4/2024 12:21:39,4,1,
730233,746,,5/4/2024 12:21:42,4,0,
730234,742,,5/4/2024 12:24:30,4,1,
730235,742,,5/4/2024 12:24:35,4,0,
730236,855,,5/4/2024 12:18:25,5,1,
730237,855,,5/4/2024 12:18:28,5,0,
730238,251,,5/4/2024 12:18:33,5,1,
730239,251,,5/4/2024 12:18:36,5,0,
730240,106,,5/4/2024 12:19:09,5,1,
730241,106,,5/4/2024 12:19:14,5,0,
730242,690,,5/4/2024 12:19:32,5,1,
730243,690,,5/4/2024 12:19:35,5,0,
730244,707,,5/4/2024 12:22:46,5,1,
730245,707,,5/4/2024 12:22:49,5,0,
730246,429,,5/4/2024 12:23:47,1,1,
730247,429,,5/4/2024 12:23:55,1,0,
730248,500,,5/4/2024 12:29:32,1,1,
730249,500,,5/4/2024 12:30:53,1,0,
730250,182,,5/4/2024 12:24:36,1,1,
730251,182,,5/4/2024 12:24:42,1,0,
730252,851,,5/4/2024 12:25:04,1,1,
730253,851,,5/4/2024 12:25:07,1,1,
730254,878,,5/4/2024 12:25:22,1,1,
730255,878,,5/4/2024 12:25:27,1,0,
730256,249,,5/4/2024 12:28:26,1,1,
730257,249,,5/4/2024 12:29:13,1,0,
730258,709,,5/4/2024 12:30:48,1,0,
730259,871,,5/4/2024 12:31:06,1,1,
730260,871,,5/4/2024 12:31:13,1,0,
730261,136,,5/4/2024 12:28:44,3,1,
730262,136,,5/4/2024 12:28:52,3,0,
730263,736,,5/4/2024 12:30:07,3,1,
730264,736,,5/4/2024 12:30:13,3,0,
730265,117,,5/4/2024 12:31:36,3,0,
