biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
739029,298,,18/4/2024 12:25:29,5,0,
739030,785,,18/4/2024 12:25:41,5,1,
739031,785,,18/4/2024 12:25:44,5,0,
739032,877,,18/4/2024 12:29:41,5,1,
739033,877,,18/4/2024 12:29:48,5,0,
739034,188,,18/4/2024 12:25:25,7,1,
739035,188,,18/4/2024 12:25:29,7,0,
739036,357,,18/4/2024 12:26:56,7,1,
739037,357,,18/4/2024 12:27:03,7,0,
739038,345,,18/4/2024 12:27:10,7,1,
739039,345,,18/4/2024 12:27:12,7,0,
739040,750,,18/4/2024 12:30:40,1,1,
739041,750,,18/4/2024 12:30:43,1,0,
739042,182,,18/4/2024 12:33:10,1,1,
739043,182,,18/4/2024 12:33:16,1,0,
739044,269,,18/4/2024 12:36:17,1,1,
739045,269,,18/4/2024 12:36:22,1,0,
739046,675,,18/4/2024 12:36:30,3,1,
739047,675,,18/4/2024 12:36:34,3,0,
739048,247,,18/4/2024 12:36:00,4,1,
739049,247,,18/4/2024 12:36:03,4,0,
739050,143,,18/4/2024 12:36:32,4,1,
739051,143,,18/4/2024 12:36:35,4,0,
739052,375,,18/4/2024 12:34:04,5,1,
739053,375,,18/4/2024 12:34:11,5,0,
739054,756,,18/4/2024 12:34:37,5,1,
739055,251,,18/4/2024 12:35:56,5,1,
739056,251,,18/4/2024 12:36:00,5,0,
739057,161,,18/4/2024 12:36:04,5,1,
739058,755,,18/4/2024 12:36:07,5,1,
739059,161,,18/4/2024 12:36:12,5,0,
739060,755,,18/4/2024 12:36:15,5,0,
739061,756,,18/4/2024 12:36:21,5,0,
739062,641,,18/4/2024 12:32:20,7,1,
739063,641,,18/4/2024 12:32:22,7,0,
739064,409,,18/4/2024 12:38:07,1,5,
739065,409,,18/4/2024 12:38:13,1,4,
739066,526,,17/4/2024 19:06:15,1,1,
739067,400,,18/4/2024 05:11:34,1,0,
739068,517,,18/4/2024 05:25:50,1,0,
739069,537,,18/4/2024 05:45:17,1,0,
739070,615,,18/4/2024 05:48:55,1,0,
739071,519,,18/4/2024 05:49:44,1,0,
739072,526,,18/4/2024 05:50:22,1,0,
739073,499,,18/4/2024 05:51:07,1,0,
739074,416,,18/4/2024 05:52:23,1,0,
739075,508,,18/4/2024 05:53:17,1,0,
739076,662,,18/4/2024 05:57:29,1,0,
739077,421,,18/4/2024 05:58:50,1,0,
739078,512,,18/4/2024 06:04:11,1,0,
739079,405,,18/4/2024 06:20:05,1,0,
739080,447,,18/4/2024 06:26:07,1,0,
739081,577,,18/4/2024 06:26:38,1,0,
739082,566,,18/4/2024 06:30:04,1,0,
739083,403,,18/4/2024 06:34:34,1,0,
