biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
765732,417,,25/4/2024 12:16:13,1,1,
765733,417,,25/4/2024 12:16:16,1,0,
765734,421,,25/4/2024 12:16:26,1,1,
765735,421,,25/4/2024 12:16:35,1,0,
765736,469,,25/4/2024 12:19:11,1,1,
765737,469,,25/4/2024 12:19:20,1,0,
765738,420,,25/4/2024 17:00:06,1,1,
765739,406,,25/4/2024 17:04:25,1,1,
765740,435,,25/4/2024 17:04:33,1,1,
765741,473,,25/4/2024 17:41:30,1,1,
765742,522,,25/4/2024 17:41:49,1,1,
765743,417,,25/4/2024 17:42:40,1,1,
765744,509,,26/4/2024 07:03:01,1,0,
765745,522,,26/4/2024 07:17:43,1,0,
765746,410,,26/4/2024 07:23:54,1,0,
765747,406,,26/4/2024 07:49:07,1,0,
765748,434,,26/4/2024 07:51:33,1,0,
765749,447,,26/4/2024 07:51:43,1,0,
765750,410,,26/4/2024 12:00:07,1,1,
765751,410,,26/4/2024 12:00:18,1,0,
765752,522,,26/4/2024 12:01:53,1,1,
765753,522,,26/4/2024 12:02:04,1,0,
765754,473,,26/4/2024 12:02:32,1,0,
765755,473,,26/4/2024 12:02:42,1,1,
765756,473,,26/4/2024 12:02:51,1,0,
765757,509,,26/4/2024 12:03:58,1,1,
765758,509,,26/4/2024 12:04:06,1,0,
765759,406,,26/4/2024 16:58:42,1,0,
765760,522,,26/4/2024 17:00:03,1,0,
765761,473,,26/4/2024 17:00:13,1,0,
765762,447,,26/4/2024 17:01:15,1,1,
765763,509,,26/4/2024 17:01:28,1,1,
765764,410,,26/4/2024 17:02:35,1,1,
765765,231,,28/4/2024 13:46:45,1,1,
765766,444,,29/4/2024 04:35:45,1,1,
765767,444,,29/4/2024 04:36:16,1,0,
765768,449,,29/4/2024 04:36:37,1,0,
765769,393,,29/4/2024 06:38:11,1,0,
765770,398,,29/4/2024 12:00:19,1,1,
765771,393,,29/4/2024 12:00:42,1,1,
765772,393,,29/4/2024 12:01:03,1,0,
765773,398,,29/4/2024 12:01:31,1,0,
765774,444,,29/4/2024 12:15:30,1,1,
765775,473,,29/4/2024 12:15:58,1,1,
765776,522,,29/4/2024 12:16:05,1,1,
765777,449,,29/4/2024 12:16:16,1,1,
765778,473,,29/4/2024 12:16:35,1,0,
765779,444,,29/4/2024 12:16:57,1,0,
765780,522,,29/4/2024 12:17:06,1,0,
765781,449,,29/4/2024 12:17:12,1,0,
765782,449,,29/4/2024 20:27:35,1,0,
765783,444,,29/4/2024 20:27:51,1,1,
765784,449,,29/4/2024 20:28:18,1,1,
777392,475,,19/4/2024 11:38:18,1,1,
777393,581,,19/4/2024 12:01:37,1,5,
777394,581,,19/4/2024 12:02:54,1,4,
777395,597,,19/4/2024 12:07:49,1,5,
777396,597,,19/4/2024 12:07:53,1,4,
777397,495,,19/4/2024 12:10:31,1,5,
777398,495,,19/4/2024 12:11:04,1,4,
777399,502,,19/4/2024 12:19:32,1,1,
777400,502,,19/4/2024 12:19:52,1,0,
777401,506,,19/4/2024 12:20:57,1,5,
777402,506,,19/4/2024 12:21:04,1,4,
777403,409,,19/4/2024 12:24:10,1,5,
777404,409,,19/4/2024 12:24:20,1,4,
777405,694,,19/4/2024 12:27:32,1,1,
777406,475,,19/4/2024 12:28:06,1,0,
777407,694,,19/4/2024 12:28:28,1,0,
777408,399,,19/4/2024 12:32:57,1,5,
777409,399,,19/4/2024 12:33:03,1,4,
777410,603,,19/4/2024 12:33:15,1,5,
777411,380,,19/4/2024 12:33:23,1,5,
777412,492,,19/4/2024 12:33:27,1,5,
777413,404,,19/4/2024 12:33:36,1,5,
777414,603,,19/4/2024 12:33:40,1,4,
777415,404,,19/4/2024 12:33:47,1,4,
777416,380,,19/4/2024 12:33:54,1,4,
777417,492,,19/4/2024 12:34:18,1,4,
777418,496,,19/4/2024 12:53:10,1,1,
777419,496,,19/4/2024 12:53:18,1,0,
777420,404,,19/4/2024 16:09:58,1,1,
777421,475,,19/4/2024 17:00:55,1,1,
777422,694,,19/4/2024 17:01:48,1,5,
777423,502,,19/4/2024 17:03:28,1,5,
777424,506,,19/4/2024 17:08:55,1,5,
777425,581,,19/4/2024 17:44:26,1,1,
777426,492,,19/4/2024 17:50:51,1,1,
777427,380,,19/4/2024 18:07:43,1,1,
777428,630,,19/4/2024 18:17:01,1,1,
777429,496,,19/4/2024 18:22:17,1,1,
777430,409,,19/4/2024 18:25:16,1,1,
777431,399,,19/4/2024 20:05:35,1,1,
777432,603,,19/4/2024 20:06:23,1,1,
777433,496,,22/4/2024 06:07:45,1,0,
777434,506,,22/4/2024 06:08:40,1,0,
777435,399,,22/4/2024 06:26:56,1,0,
777436,630,,22/4/2024 06:27:09,1,0,
777437,502,,22/4/2024 06:41:14,1,0,
777438,409,,22/4/2024 06:58:59,1,0,
777439,475,,22/4/2024 07:08:37,1,0,
777440,597,,22/4/2024 07:38:32,1,0,
777441,603,,22/4/2024 07:55:35,1,0,
777442,492,,22/4/2024 08:14:53,1,0,
777443,380,,22/4/2024 08:21:52,1,0,
777444,581,,22/4/2024 08:57:10,1,0,
777445,475,,22/4/2024 12:02:00,1,1,
777446,597,,22/4/2024 12:09:55,1,5,
777447,597,,22/4/2024 12:10:00,1,4,
777448,475,,22/4/2024 12:14:19,1,0,
777449,502,,22/4/2024 12:15:01,1,1,
777450,502,,22/4/2024 12:15:21,1,0,
777451,603,,22/4/2024 12:35:42,1,5,
777452,603,,22/4/2024 12:35:46,1,4,
777453,581,,22/4/2024 12:36:15,1,5,
777454,380,,22/4/2024 12:36:27,1,5,
777455,380,,22/4/2024 12:36:44,1,4,
777456,492,,22/4/2024 12:37:11,1,5,
777457,492,,22/4/2024 12:37:15,1,4,
777458,581,,22/4/2024 12:38:07,1,4,
777459,597,,22/4/2024 16:55:48,1,1,
777460,475,,22/4/2024 17:05:49,1,1,
777461,502,,22/4/2024 17:06:00,1,1,
777462,603,,22/4/2024 17:07:13,1,1,
777463,506,,22/4/2024 17:44:07,1,1,
777464,581,,22/4/2024 18:04:46,1,1,
777465,492,,22/4/2024 18:24:05,1,1,
777466,380,,22/4/2024 18:24:19,1,1,
777467,399,,22/4/2024 18:38:23,1,1,
777468,409,,22/4/2024 18:38:35,1,1,
777469,409,,22/4/2024 18:38:37,1,1,
777470,496,,22/4/2024 18:38:59,1,1,
777471,630,,22/4/2024 18:40:02,1,1,
777472,506,,23/4/2024 06:03:59,1,0,
777473,475,,23/4/2024 06:54:21,1,0,
777474,502,,23/4/2024 07:01:57,1,0,
777475,496,,23/4/2024 07:09:04,1,0,
777476,409,,23/4/2024 07:11:05,1,0,
777477,694,,23/4/2024 07:19:15,1,0,
777478,399,,23/4/2024 07:42:45,1,0,
777479,630,,23/4/2024 07:43:52,1,0,
777480,597,,23/4/2024 07:55:37,1,0,
777481,603,,23/4/2024 07:55:49,1,0,
777482,380,,23/4/2024 08:12:19,1,0,
777483,492,,23/4/2024 08:22:52,1,0,
777484,495,,23/4/2024 08:23:25,1,0,
777485,581,,23/4/2024 09:01:03,1,0,
777486,581,,23/4/2024 12:01:51,1,5,
777487,581,,23/4/2024 12:02:10,1,4,
777488,399,,23/4/2024 12:10:24,1,5,
777489,399,,23/4/2024 12:10:28,1,4,
777490,496,,23/4/2024 12:10:41,1,1,
777491,496,,23/4/2024 12:10:51,1,0,
777492,475,,23/4/2024 12:11:01,1,1,
777493,380,,23/4/2024 12:12:57,1,1,
777494,380,,23/4/2024 12:13:05,1,4,
777495,495,,23/4/2024 12:13:14,1,5,
777496,495,,23/4/2024 12:14:10,1,4,
777497,409,,23/4/2024 12:14:19,1,5,
777498,603,,23/4/2024 12:14:26,1,5,
777499,409,,23/4/2024 12:14:32,1,4,
777500,603,,23/4/2024 12:14:36,1,4,
777501,694,,23/4/2024 12:18:44,1,5,
777502,506,,23/4/2024 12:19:12,1,5,
777503,506,,23/4/2024 12:19:18,1,4,
777504,694,,23/4/2024 12:20:04,1,4,
