biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
741029,504,,18/4/2024 12:23:05,1,0,
741030,805,,18/4/2024 12:29:02,1,1,
741031,805,,18/4/2024 12:30:40,1,0,
741032,510,,18/4/2024 12:35:53,1,1,
741033,480,,18/4/2024 12:36:12,1,1,
741034,480,,18/4/2024 12:36:19,1,0,
741035,485,,18/4/2024 12:50:19,1,1,
741036,485,,18/4/2024 12:50:24,1,0,
741037,510,,18/4/2024 12:50:46,1,0,
741038,716,,18/4/2024 12:51:54,1,1,
741039,716,,18/4/2024 12:52:12,1,0,
741040,803,,18/4/2024 16:01:32,1,1,
741041,504,,18/4/2024 16:06:57,1,1,
741042,500,,18/4/2024 16:23:04,1,1,
741043,503,,18/4/2024 16:32:07,1,1,
741044,516,,18/4/2024 16:32:52,1,1,
741045,716,,18/4/2024 16:38:33,1,1,
741046,493,,18/4/2024 16:40:04,1,1,
741047,604,,18/4/2024 16:57:06,1,1,
741048,494,,18/4/2024 17:01:54,1,1,
741049,805,,18/4/2024 17:02:42,1,1,
741050,720,,18/4/2024 17:06:23,1,1,
741051,501,,18/4/2024 17:10:43,1,1,
741052,808,,18/4/2024 17:11:08,1,1,
741053,728,,18/4/2024 17:11:59,1,1,
741054,590,,18/4/2024 17:18:52,1,1,
741055,480,,18/4/2024 17:25:53,1,1,
741056,485,,18/4/2024 17:26:03,1,1,
741057,510,,18/4/2024 18:57:14,1,1,
741058,516,,19/4/2024 06:00:04,1,0,
741059,504,,19/4/2024 06:43:18,1,0,
741060,503,,19/4/2024 06:44:37,1,0,
741061,500,,19/4/2024 07:07:47,1,0,
741062,494,,19/4/2024 07:10:04,1,0,
741063,803,,19/4/2024 07:18:27,1,0,
741064,476,,19/4/2024 07:29:07,1,0,
741065,804,,19/4/2024 07:31:25,1,0,
741066,493,,19/4/2024 07:31:41,1,0,
741067,501,,19/4/2024 07:41:04,1,0,
741068,510,,19/4/2024 07:43:56,1,0,
741069,486,,19/4/2024 07:51:23,1,0,
741070,490,,19/4/2024 07:56:27,1,0,
741071,720,,19/4/2024 08:00:56,1,0,
741072,604,,19/4/2024 08:06:34,1,0,
741073,511,,19/4/2024 08:08:05,1,0,
741074,572,,19/4/2024 08:10:39,1,0,
741075,808,,19/4/2024 08:11:00,1,0,
741076,514,,19/4/2024 08:12:27,1,0,
741077,728,,19/4/2024 08:12:33,1,0,
741078,590,,19/4/2024 08:23:14,1,0,
741079,485,,19/4/2024 08:30:00,1,0,
741080,728,,19/4/2024 12:00:19,1,1,
741081,728,,19/4/2024 12:00:38,1,0,
741082,590,,19/4/2024 12:00:51,1,1,
741083,590,,19/4/2024 12:01:29,1,0,
741084,516,,19/4/2024 12:01:36,1,1,
741085,516,,19/4/2024 12:02:19,1,0,
741086,490,,19/4/2024 12:09:35,1,1,
741087,490,,19/4/2024 12:10:03,1,0,
741088,720,,19/4/2024 12:11:15,1,1,
741089,720,,19/4/2024 12:12:25,1,0,
741090,486,,19/4/2024 12:15:54,1,1,
741091,500,,19/4/2024 12:16:11,1,1,
741092,486,,19/4/2024 12:16:32,1,0,
741093,500,,19/4/2024 12:17:31,1,0,
741094,511,,19/4/2024 12:21:09,1,1,
741095,494,,19/4/2024 12:21:19,1,1,
741096,572,,19/4/2024 12:21:25,1,1,
741097,493,,19/4/2024 12:21:30,1,1,
741098,493,,19/4/2024 12:22:16,1,0,
741099,572,,19/4/2024 12:22:23,1,0,
741100,494,,19/4/2024 12:22:30,1,0,
741101,511,,19/4/2024 12:22:37,1,0,
741102,514,,19/4/2024 12:24:15,1,1,
741103,514,,19/4/2024 12:25:19,1,0,
741104,485,,19/4/2024 12:27:22,1,1,
741105,485,,19/4/2024 12:27:26,1,0,
741106,803,,19/4/2024 12:31:16,1,1,
741107,510,,19/4/2024 12:36:28,1,1,
741108,510,,19/4/2024 12:37:07,1,0,
741109,604,,19/4/2024 12:41:11,1,1,
741110,604,,19/4/2024 12:42:12,1,0,
741111,503,,19/4/2024 12:44:29,1,1,
741112,808,,19/4/2024 12:44:39,1,1,
741113,504,,19/4/2024 12:45:23,1,1,
741114,808,,19/4/2024 12:46:45,1,0,
741115,504,,19/4/2024 12:47:02,1,0,
741116,476,,19/4/2024 12:48:33,1,1,
741117,476,,19/4/2024 12:48:44,1,0,
741118,503,,19/4/2024 12:49:21,1,0,
741119,804,,19/4/2024 12:49:52,1,1,
741120,804,,19/4/2024 12:51:04,1,0,
741121,803,,19/4/2024 12:53:06,1,0,
741122,501,,19/4/2024 13:43:21,1,1,
741123,501,,19/4/2024 13:43:50,1,0,
741124,503,,19/4/2024 16:03:05,1,1,
741125,516,,19/4/2024 16:05:05,1,1,
741126,500,,19/4/2024 16:10:39,1,1,
741127,803,,19/4/2024 16:19:11,1,1,
741128,494,,19/4/2024 16:19:27,1,1,
741129,493,,19/4/2024 16:19:33,1,1,
741130,504,,19/4/2024 16:25:00,1,1,
741131,476,,19/4/2024 16:48:44,1,1,
741132,510,,19/4/2024 16:48:58,1,1,
741133,490,,19/4/2024 16:56:24,1,1,
741134,501,,19/4/2024 17:07:32,1,1,
741135,485,,19/4/2024 17:13:49,1,1,
741136,720,,19/4/2024 17:15:00,1,1,
741137,572,,19/4/2024 17:23:32,1,1,
741138,486,,19/4/2024 17:35:26,1,1,
741139,804,,19/4/2024 17:43:16,1,1,
741140,511,,19/4/2024 18:18:35,1,1,
741141,808,,19/4/2024 18:22:10,1,1,
741142,728,,19/4/2024 18:36:50,1,1,
741143,590,,19/4/2024 18:37:28,1,1,
741144,514,,19/4/2024 19:01:22,1,1,
741145,289,,22/4/2024 07:41:59,2,0,
741146,110,,22/4/2024 07:43:09,2,0,
741147,200,,22/4/2024 07:49:55,2,0,
741148,254,,22/4/2024 07:51:49,2,0,
741149,204,,22/4/2024 07:55:46,2,0,
741150,202,,22/4/2024 07:59:07,2,0,
741151,725,,22/4/2024 08:13:00,2,0,
741152,332,,22/4/2024 08:13:05,2,0,
741153,887,,22/4/2024 08:14:40,2,0,
741154,222,,22/4/2024 08:30:40,2,0,
741155,222,,22/4/2024 08:30:41,2,0,
741156,155,,22/4/2024 08:31:24,2,0,
741157,765,,22/4/2024 08:35:54,2,0,
741158,116,,22/4/2024 09:06:14,2,0,
741159,864,,22/4/2024 09:11:01,2,0,
741160,201,,22/4/2024 09:27:43,2,0,
741161,356,,22/4/2024 09:27:22,4,0,
741162,877,,22/4/2024 09:28:17,5,0,
741163,118,,22/4/2024 09:27:48,3,0,
741164,732,,22/4/2024 09:33:16,3,0,
741165,792,,22/4/2024 10:00:51,1,0,
741166,133,,22/4/2024 12:00:10,1,1,
741167,133,,22/4/2024 12:00:13,1,0,
741168,196,,22/4/2024 12:00:31,1,1,
741169,196,,22/4/2024 12:00:35,1,0,
741170,648,,22/4/2024 12:01:32,1,1,
741171,648,,22/4/2024 12:01:44,1,0,
741172,875,,22/4/2024 12:02:06,1,1,
741173,682,,22/4/2024 12:02:12,1,1,
741174,875,,22/4/2024 12:02:35,1,0,
741175,682,,22/4/2024 12:02:41,1,0,
741176,897,,22/4/2024 12:02:52,1,1,
741177,897,,22/4/2024 12:03:01,1,0,
741178,689,,22/4/2024 12:03:07,1,1,
741179,689,,22/4/2024 12:03:10,1,0,
741180,870,,22/4/2024 12:03:17,1,1,
741181,870,,22/4/2024 12:03:23,1,0,
741182,895,,22/4/2024 12:03:32,1,1,
741183,895,,22/4/2024 12:03:49,1,0,
741184,150,,22/4/2024 12:04:12,1,1,
741185,844,,22/4/2024 12:04:19,1,1,
741186,844,,22/4/2024 12:04:22,1,0,
741187,210,,22/4/2024 12:04:28,1,1,
741188,150,,22/4/2024 12:04:38,1,0,
741189,210,,22/4/2024 12:04:41,1,0,
741190,741,,22/4/2024 12:04:50,1,1,
741191,741,,22/4/2024 12:04:56,1,0,
741192,833,,22/4/2024 12:05:43,1,1,
741193,833,,22/4/2024 12:05:51,1,0,
741194,209,,22/4/2024 12:06:53,1,1,
741195,209,,22/4/2024 12:06:57,1,0,
741196,861,,22/4/2024 12:09:19,1,1,
741197,861,,22/4/2024 12:09:26,1,0,
741198,372,,22/4/2024 12:09:33,1,1,
741199,372,,22/4/2024 12:09:36,1,0,
741200,792,,22/4/2024 12:10:31,1,1,
741201,792,,22/4/2024 12:10:34,1,0,
741202,783,,22/4/2024 12:11:50,1,1,
741203,783,,22/4/2024 12:11:55,1,0,
741204,369,,22/4/2024 12:12:02,1,1,
741205,369,,22/4/2024 12:12:06,1,0,
741206,317,,22/4/2024 12:12:48,1,1,
741207,317,,22/4/2024 12:12:54,1,0,
741208,216,,22/4/2024 12:15:13,1,1,
741209,216,,22/4/2024 12:15:26,1,0,
741210,789,,22/4/2024 12:15:33,1,1,
741211,275,,22/4/2024 12:15:36,1,1,
741212,789,,22/4/2024 12:15:39,1,0,
741213,275,,22/4/2024 12:15:42,1,0,
741214,267,,22/4/2024 12:16:42,1,1,
741215,267,,22/4/2024 12:16:46,1,0,
741216,871,,22/4/2024 12:17:00,1,1,
741217,871,,22/4/2024 12:17:06,1,0,
741218,243,,22/4/2024 12:17:31,1,1,
741219,243,,22/4/2024 12:17:34,1,0,
741220,845,,22/4/2024 12:17:43,1,1,
741221,845,,22/4/2024 12:17:46,1,0,
741222,211,,22/4/2024 12:17:53,1,1,
741223,211,,22/4/2024 12:17:56,1,0,
741224,709,,22/4/2024 12:18:12,1,1,
741225,709,,22/4/2024 12:18:16,1,0,
741226,687,,22/4/2024 12:18:21,1,1,
741227,687,,22/4/2024 12:18:24,1,0,
741228,687,,22/4/2024 12:18:25,1,0,
741229,306,,22/4/2024 12:18:58,1,1,
741230,306,,22/4/2024 12:19:06,1,0,
741231,852,,22/4/2024 12:19:38,1,1,
741232,852,,22/4/2024 12:19:41,1,0,
741233,162,,22/4/2024 12:20:13,1,1,
741234,162,,22/4/2024 12:20:16,1,0,
741235,763,,22/4/2024 12:20:23,1,1,
741236,763,,22/4/2024 12:20:26,1,0,
741237,244,,22/4/2024 12:20:32,1,1,
741238,244,,22/4/2024 12:20:35,1,0,
741239,199,,22/4/2024 12:20:41,1,1,
741240,199,,22/4/2024 12:20:45,1,0,
741241,182,,22/4/2024 12:21:00,1,1,
741242,182,,22/4/2024 12:21:11,1,0,
741243,249,,22/4/2024 12:22:33,1,1,
741244,770,,22/4/2024 12:22:39,1,1,
741245,770,,22/4/2024 12:22:42,1,0,
741246,265,,22/4/2024 12:23:17,1,1,
