biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
728134,147,,3/4/2024 12:32:07,3,0,
728135,118,,3/4/2024 12:32:18,3,1,
728136,160,,3/4/2024 12:32:47,3,1,
728137,118,,3/4/2024 12:33:13,3,0,
728138,160,,3/4/2024 12:33:17,3,0,
728139,125,,3/4/2024 12:33:29,3,1,
728140,125,,3/4/2024 12:33:32,3,1,
728141,101,,3/4/2024 12:30:20,4,1,
728142,101,,3/4/2024 12:30:25,4,0,
728143,146,,3/4/2024 12:35:44,5,1,
728144,146,,3/4/2024 12:35:49,5,0,
728145,703,,3/4/2024 12:31:49,1,1,
728146,703,,3/4/2024 12:31:57,1,0,
728147,421,,3/4/2024 12:35:47,1,1,
728148,421,,3/4/2024 12:36:24,1,0,
728149,784,,3/4/2024 12:37:22,1,0,
728150,784,,3/4/2024 12:37:32,1,1,
728151,213,,3/4/2024 12:38:15,2,1,
728152,213,,3/4/2024 12:38:21,2,0,
728153,816,,3/4/2024 12:36:22,3,1,
728154,816,,3/4/2024 12:36:27,3,0,
728155,684,,3/4/2024 12:39:20,4,1,
728156,684,,3/4/2024 12:39:23,4,0,
728157,772,,3/4/2024 12:39:29,4,1,
728158,772,,3/4/2024 12:39:32,4,0,
728159,653,,3/4/2024 12:40:50,4,1,
728160,653,,3/4/2024 12:40:53,4,0,
728161,651,,3/4/2024 12:41:18,4,1,
728162,651,,3/4/2024 12:41:23,4,0,
728163,869,,3/4/2024 12:38:10,5,1,
728164,869,,3/4/2024 12:38:18,5,0,
728165,503,,3/4/2024 15:18:10,1,1,
728166,504,,3/4/2024 15:28:59,1,1,
728167,476,,3/4/2024 15:35:38,1,1,
728168,720,,3/4/2024 16:11:38,1,1,
728169,805,,3/4/2024 16:16:22,1,1,
728170,500,,3/4/2024 16:28:07,1,1,
728171,518,,3/4/2024 16:30:04,1,1,
728172,493,,3/4/2024 16:30:11,1,1,
728173,804,,3/4/2024 16:38:06,1,1,
728174,510,,3/4/2024 16:39:17,1,1,
728175,494,,3/4/2024 16:58:11,1,1,
728176,807,,3/4/2024 16:59:11,1,1,
728177,501,,3/4/2024 17:03:11,1,1,
728178,511,,3/4/2024 17:15:48,1,1,
728179,480,,3/4/2024 17:32:17,1,1,
728180,803,,3/4/2024 17:41:32,1,1,
728181,728,,3/4/2024 17:59:33,1,1,
728182,486,,3/4/2024 18:01:51,1,1,
728183,572,,3/4/2024 18:23:10,1,1,
728184,514,,3/4/2024 18:28:54,1,1,
728185,516,,3/4/2024 18:55:44,1,1,
728186,604,,3/4/2024 19:20:03,1,1,
728187,503,,4/4/2024 06:47:28,1,0,
728188,504,,4/4/2024 06:59:57,1,0,
728189,476,,4/4/2024 07:21:21,1,0,
728190,500,,4/4/2024 07:23:08,1,0,
728191,494,,4/4/2024 07:24:57,1,0,
728192,518,,4/4/2024 07:29:40,1,0,
728193,804,,4/4/2024 07:38:52,1,0,
728194,493,,4/4/2024 07:39:49,1,0,
728195,720,,4/4/2024 07:42:57,1,0,
728196,485,,4/4/2024 07:45:26,1,0,
728197,501,,4/4/2024 07:53:41,1,0,
728198,805,,4/4/2024 07:58:16,1,0,
728199,514,,4/4/2024 07:58:26,1,0,
728200,807,,4/4/2024 07:58:42,1,0,
728201,510,,4/4/2024 08:05:08,1,0,
728202,803,,4/4/2024 08:05:28,1,0,
728203,728,,4/4/2024 08:08:31,1,0,
728204,486,,4/4/2024 08:14:00,1,0,
728205,511,,4/4/2024 08:17:59,1,0,
728206,480,,4/4/2024 08:19:15,1,0,
728207,806,,4/4/2024 08:30:29,1,0,
728208,572,,4/4/2024 08:32:51,1,0,
728209,709,,3/4/2024 12:57:55,1,1,
728210,709,,3/4/2024 12:57:58,1,0,
728211,895,,3/4/2024 13:31:39,1,0,
728212,260,,3/4/2024 16:00:58,1,1,
728213,844,,3/4/2024 16:01:04,1,1,
728214,260,,3/4/2024 16:01:13,1,1,
728215,133,,3/4/2024 16:03:07,1,1,
728216,150,,3/4/2024 16:03:39,1,1,
