biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
737029,194,,16/4/2024 18:30:27,5,1,
737030,157,,16/4/2024 18:41:23,1,1,
737031,132,,16/4/2024 18:40:27,4,1,
737032,143,,16/4/2024 18:41:01,4,1,
737033,763,,16/4/2024 18:44:35,1,1,
737034,825,,16/4/2024 18:44:51,1,1,
737035,795,,16/4/2024 18:44:56,1,1,
737036,851,,16/4/2024 18:47:47,1,1,
737037,124,,16/4/2024 18:47:22,4,1,
737038,188,,16/4/2024 18:45:07,5,1,
737039,135,,16/4/2024 18:45:39,5,1,
737040,269,,16/4/2024 18:55:03,1,1,
737041,737,,16/4/2024 18:55:44,4,1,
737042,821,,16/4/2024 18:56:57,4,1,
737043,877,,16/4/2024 18:58:13,5,1,
737044,641,,16/4/2024 19:01:02,4,1,
737045,312,,16/4/2024 18:59:06,5,1,
737046,273,,16/4/2024 19:03:28,5,1,
737047,125,,16/4/2024 18:58:43,3,1,
737048,169,,16/4/2024 19:03:09,3,1,
737049,203,,16/4/2024 19:07:54,3,1,
737050,813,,16/4/2024 19:11:46,3,1,
737051,167,,16/4/2024 19:08:14,4,1,
737052,817,,16/4/2024 19:08:20,4,1,
737053,831,,16/4/2024 19:08:46,4,1,
737054,103,,16/4/2024 19:12:47,4,1,
737055,146,,16/4/2024 19:11:03,5,1,
737056,176,,16/4/2024 19:11:10,5,1,
737057,671,,16/4/2024 19:14:46,3,1,
737058,118,,16/4/2024 19:15:13,3,1,
737059,130,,16/4/2024 19:26:17,1,1,
737060,687,,16/4/2024 19:26:23,1,1,
737061,136,,16/4/2024 19:20:41,3,1,
737062,160,,16/4/2024 19:20:48,3,1,
737063,105,,16/4/2024 19:24:17,3,1,
737064,350,,16/4/2024 19:24:27,3,1,
737065,863,,16/4/2024 19:24:30,3,1,
737066,238,,16/4/2024 19:26:56,3,1,
737067,345,,16/4/2024 19:22:41,4,1,
737068,785,,16/4/2024 19:22:44,5,1,
737069,244,,16/4/2024 19:26:46,1,1,
737070,871,,16/4/2024 19:26:52,1,1,
737071,280,,16/4/2024 19:32:05,1,1,
737072,770,,16/4/2024 19:32:14,1,1,
737073,265,,16/4/2024 19:32:16,1,1,
737074,745,,16/4/2024 19:32:44,3,1,
737075,263,,16/4/2024 19:29:14,5,1,
737076,654,,16/4/2024 19:29:27,5,1,
737077,251,,16/4/2024 19:32:36,5,1,
737078,797,,16/4/2024 19:41:28,3,1,
737079,661,,16/4/2024 19:34:53,4,1,
737080,679,,16/4/2024 19:36:50,5,1,
737081,313,,16/4/2024 19:36:55,5,1,
737082,313,,16/4/2024 19:36:56,5,1,
737083,191,,16/4/2024 19:37:00,5,1,
737084,298,,16/4/2024 19:37:03,5,1,
737085,298,,16/4/2024 19:37:05,5,1,
737086,833,,16/4/2024 19:42:32,1,1,
737087,199,,16/4/2024 19:53:52,1,1,
737088,317,,16/4/2024 19:53:58,1,1,
737089,729,,16/4/2024 19:44:37,4,1,
737090,683,,16/4/2024 19:59:10,5,1,
737091,270,,16/4/2024 20:06:02,4,1,
737092,189,,16/4/2024 20:05:35,5,1,
737093,791,,16/4/2024 20:06:36,3,1,
