biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
610857,840,,1/4/2024 07:00:00,3,0,1
610858,835,,1/4/2024 07:13:00,3,0,1
610859,842,,1/4/2024 08:23:00,3,0,1
610860,840,,1/4/2024 12:04:00,3,1,1
610861,840,,1/4/2024 12:05:00,3,0,1
610862,842,,1/4/2024 12:05:00,3,1,1
610863,835,,1/4/2024 12:06:00,3,1,1
610864,842,,1/4/2024 12:07:00,3,0,1
610865,835,,1/4/2024 12:08:00,3,0,1
610866,840,,1/4/2024 16:21:00,3,1,1
610867,835,,1/4/2024 16:21:00,3,1,1
610868,842,,1/4/2024 17:30:00,3,1,1
658677,840,,1/4/2024 07:00:00,1,0,1
658678,835,,1/4/2024 07:13:00,1,0,1
658679,842,,1/4/2024 08:23:00,1,0,1
658680,840,,1/4/2024 12:04:00,1,1,1
658681,840,,1/4/2024 12:05:00,1,0,1
658682,842,,1/4/2024 12:05:00,1,1,1
658683,835,,1/4/2024 12:06:00,1,1,1
658684,842,,1/4/2024 12:07:00,1,0,1
658685,835,,1/4/2024 12:08:00,1,0,1
658686,840,,1/4/2024 16:21:00,1,1,1
658687,835,,1/4/2024 16:21:00,1,1,1
658688,842,,1/4/2024 17:30:00,1,1,1
689999,326,,1/4/2024 06:08:17,4,0,
690000,661,,1/4/2024 06:15:11,4,0,
690001,799,,1/4/2024 06:17:02,4,0,
690002,297,,1/4/2024 06:17:08,4,0,
690003,270,,1/4/2024 06:17:40,4,0,
690004,693,,1/4/2024 06:18:28,4,0,
690005,693,,1/4/2024 06:18:31,4,0,
690006,103,,1/4/2024 06:23:45,4,0,
690007,268,,1/4/2024 06:38:12,4,0,
690008,272,,1/4/2024 06:40:11,4,0,
690009,132,,1/4/2024 06:50:55,4,0,
690010,256,,1/4/2024 06:53:29,4,0,
690011,635,,1/4/2024 06:54:37,4,0,
690012,304,,1/4/2024 06:55:38,4,0,
690013,823,,1/4/2024 06:55:45,4,0,
690014,737,,1/4/2024 06:57:44,4,0,
690015,177,,1/4/2024 07:05:06,4,0,
690016,362,,1/4/2024 07:07:11,4,0,
690017,641,,1/4/2024 07:10:52,4,0,
690018,139,,1/4/2024 07:11:16,4,0,
690019,101,,1/4/2024 07:12:01,4,0,
690020,143,,1/4/2024 07:21:37,4,0,
690021,708,,1/4/2024 07:21:43,4,0,
690022,342,,1/4/2024 07:32:32,4,0,
690023,151,,1/4/2024 07:36:14,4,0,
690024,860,,1/4/2024 07:55:24,4,0,
690025,796,,1/4/2024 08:02:20,4,0,
690026,357,,1/4/2024 08:05:33,4,0,
690027,817,,1/4/2024 08:07:50,4,0,
690028,356,,1/4/2024 08:09:09,4,0,
690029,279,,1/4/2024 08:16:58,4,0,
690030,319,,1/4/2024 08:18:17,4,0,
690031,865,,1/4/2024 08:39:45,4,0,
690032,766,,1/4/2024 08:43:55,4,0,
690033,322,,1/4/2024 08:45:09,4,0,
690034,859,,1/4/2024 08:46:53,4,0,
690035,651,,1/4/2024 08:48:04,4,0,
690036,713,,1/4/2024 08:50:01,4,0,
690037,771,,1/4/2024 08:54:09,4,0,
690038,794,,1/4/2024 08:57:46,4,0,
690039,821,,1/4/2024 08:57:55,4,0,
690040,124,,1/4/2024 08:58:07,4,0,
690041,355,,1/4/2024 08:59:01,4,0,
690042,684,,1/4/2024 08:59:14,4,0,
690043,746,,1/4/2024 08:59:25,4,0,
