biometricdtrid,bsdno,isindtr,logdatetime,nfcdeviceid,type,ismanual
748054,169,,30/4/2024 12:15:29,3,0,
748055,740,,30/4/2024 12:15:53,3,1,
748056,740,,30/4/2024 12:15:57,3,0,
748057,147,,30/4/2024 12:16:14,3,0,
748058,147,,30/4/2024 12:16:42,3,1,
748059,238,,30/4/2024 12:16:49,3,1,
748060,229,,30/4/2024 12:16:56,3,1,
748061,238,,30/4/2024 12:17:01,3,0,
748062,229,,30/4/2024 12:17:04,3,0,
748063,814,,30/4/2024 12:18:20,3,1,
748064,856,,30/4/2024 12:18:24,3,1,
748065,813,,30/4/2024 12:18:30,3,1,
748066,814,,30/4/2024 12:18:35,3,0,
748067,856,,30/4/2024 12:18:41,3,0,
748068,813,,30/4/2024 12:18:44,3,0,
748069,193,,30/4/2024 12:19:12,3,1,
748070,193,,30/4/2024 12:19:16,3,0,
748071,781,,30/4/2024 12:19:22,3,0,
748072,781,,30/4/2024 12:19:27,3,1,
748073,816,,30/4/2024 12:20:07,3,1,
748074,816,,30/4/2024 12:20:12,3,0,
748075,800,,30/4/2024 12:20:52,3,1,
748076,800,,30/4/2024 12:20:56,3,0,
748077,239,,30/4/2024 12:22:27,3,1,
748078,787,,30/4/2024 12:22:32,3,1,
748079,239,,30/4/2024 12:22:38,3,0,
748080,787,,30/4/2024 12:22:41,3,0,
748081,768,,30/4/2024 12:24:55,3,1,
748082,768,,30/4/2024 12:25:00,3,0,
748083,867,,30/4/2024 12:23:03,4,1,
748084,867,,30/4/2024 12:23:06,4,0,
748085,867,,30/4/2024 12:23:07,4,0,
748086,319,,30/4/2024 12:26:24,4,1,
748087,319,,30/4/2024 12:26:27,4,0,
748088,231,,30/4/2024 12:23:21,1,1,
748089,231,,30/4/2024 12:23:24,1,0,
748090,106,,30/4/2024 12:22:00,5,1,
748091,106,,30/4/2024 12:22:04,5,0,
748092,121,,30/4/2024 12:22:09,5,1,
748093,121,,30/4/2024 12:22:12,5,0,
748094,843,,30/4/2024 12:22:29,5,1,
748095,843,,30/4/2024 12:22:38,5,0,
748096,837,,30/4/2024 12:22:42,5,1,
748097,837,,30/4/2024 12:22:45,5,0,
748098,313,,30/4/2024 12:23:50,5,1,
748099,313,,30/4/2024 12:23:53,5,0,
748100,353,,30/4/2024 12:27:02,5,1,
748101,353,,30/4/2024 12:27:05,5,0,
748102,166,,30/4/2024 12:27:34,5,1,
748103,166,,30/4/2024 12:27:37,5,0,
748104,156,,30/4/2024 12:27:44,5,1,
748105,156,,30/4/2024 12:27:48,5,0,
748106,266,,30/4/2024 12:27:54,5,1,
748107,266,,30/4/2024 12:27:57,5,0,
748108,731,,30/4/2024 12:28:08,5,1,
748109,731,,30/4/2024 12:28:12,5,0,
748110,604,,30/4/2024 12:26:37,1,0,
748111,550,,30/4/2024 12:29:36,1,1,
748112,550,,30/4/2024 12:30:05,1,0,
748113,639,,30/4/2024 12:30:31,1,1,
748114,639,,30/4/2024 12:30:39,1,0,
748115,648,,30/4/2024 12:28:24,1,1,
748116,648,,30/4/2024 12:28:36,1,0,
748117,267,,30/4/2024 12:29:16,1,1,
748118,267,,30/4/2024 12:29:19,1,0,
748119,717,,30/4/2024 12:33:03,1,1,
748120,717,,30/4/2024 12:33:21,1,0,
748121,703,,30/4/2024 12:34:03,1,1,
748122,398,,30/4/2024 12:34:08,1,1,
748123,703,,30/4/2024 12:34:15,1,0,
748124,549,,30/4/2024 12:34:58,1,1,
748125,549,,30/4/2024 12:35:04,1,0,
748126,398,,30/4/2024 12:35:08,1,0,
748127,393,,30/4/2024 12:35:29,1,1,
748128,393,,30/4/2024 12:36:01,1,0,
748129,572,,30/4/2024 12:36:30,1,1,
748130,572,,30/4/2024 12:37:04,1,0,
748131,805,,30/4/2024 12:37:40,1,1,
748132,805,,30/4/2024 12:38:18,1,0,
748133,511,,30/4/2024 12:42:27,1,1,
748134,511,,30/4/2024 12:42:33,1,0,
748135,421,,30/4/2024 12:49:36,1,1,
748136,421,,30/4/2024 12:49:44,1,0,
748137,111,,30/4/2024 12:21:21,2,1,
748138,111,,30/4/2024 12:21:26,2,0,
748139,173,,30/4/2024 12:26:10,2,1,
748140,246,,30/4/2024 12:26:14,2,1,
748141,134,,30/4/2024 12:26:19,2,1,
748142,173,,30/4/2024 12:26:27,2,0,
